"Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","newanno","mutant","comparedTo"
"Bcen2424_2985",577.103323990662,0.753902682622339,0.14265690450316,5.28472621250266,1.25892896643795e-07,0.000863499378079787,"hypothetical protein","S3C","T41T"
"Bcen2424_0255",1081.43895061697,0.442747676070962,0.125039610195379,3.5408593755143,0.000398826083279393,0.0998414174306888,"response regulator","S3C","WT"
"Bcen2424_2426",4520.69403376458,0.945100036615431,0.146868517235361,6.43500768174083,1.23467085839845e-10,2.87801777092679e-07,"phosphoenolpyruvate carboxylase","S3C","WT"
"Bcen2424_2984",438.105489870812,0.660430597202424,0.181165557339239,3.6454534013093,0.000266920780548898,0.0998414174306888,"DNA-binding transcriptional regulator","S3C","WT"
"Bcen2424_2985",577.103323990662,0.590217818837143,0.141050176664724,4.18445288615335,2.85853722669335e-05,0.0166581256885555,"hypothetical protein","S3C","WT"
"Bcen2424_5856",2430.61996913441,-1.17939373510075,0.232753256993347,-5.06714170334667,4.03833661672766e-07,0.00031377875511974,"hypothetical protein","S3C","WT"
"Bcen2424_5857",1453.94392959632,-1.06065376260328,0.189204630126063,-5.60585521557578,2.07229142397997e-08,2.41525565464865e-05,"NAD(P)/FAD-dependent oxidoreductase","S3C","WT"
"BCEN2424_RS00045",123522.524988102,3.1945527845349,0.907030592766393,3.521990118097,0.000428320109097764,0.0998414174306888,"23S ribosomal RNA","S3C","WT"
"BCEN2424_RS01625",123522.524988102,3.1945527845349,0.907030592766393,3.521990118097,0.000428320109097764,0.0998414174306888,"23S ribosomal RNA","S3C","WT"
"BCEN2424_RS02715",123522.524988102,3.1945527845349,0.907030592766393,3.521990118097,0.000428320109097764,0.0998414174306888,"23S ribosomal RNA","S3C","WT"
"BCEN2424_RS11065",136735.017610224,3.22520443755594,0.896440804269933,3.59778852345144,0.00032093439358579,0.0998414174306888,"23S ribosomal RNA","S3C","WT"
"Bcen2424_2985",577.103323990662,-0.753902682622339,0.14265690450316,-5.28472621250266,1.25892896643795e-07,0.000863499378079787,"hypothetical protein","T41T","S3C"
"Bcen2424_2426",4520.69403376458,0.964918646430873,0.146871565554013,6.56981249427765,5.03786610906866e-11,3.4554723642102e-07,"phosphoenolpyruvate carboxylase","T41T","WT"
"Bcen2424_4151",495.494380275461,0.94953020485538,0.215236790799228,4.41156087362917,1.02628091706091e-05,0.035196304050604,"hypothetical protein","T41T","WT"
"Bcen2424_4447",1186.62650013326,0.765610070026455,0.1813090515532,4.22267980262315,2.41414671704172e-05,0.0551954411072973,"isocitrate lyase","T41T","WT"
"Bcen2424_0255",1081.43895061697,-0.442747676070962,0.125039610195379,-3.5408593755143,0.000398826083279393,0.0998414174306888,"response regulator","WT","S3C"
"Bcen2424_2426",4520.69403376458,-0.945100036615431,0.146868517235361,-6.43500768174083,1.23467085839845e-10,2.87801777092679e-07,"phosphoenolpyruvate carboxylase","WT","S3C"
"Bcen2424_2984",438.105489870812,-0.660430597202424,0.181165557339239,-3.6454534013093,0.000266920780548898,0.0998414174306888,"DNA-binding transcriptional regulator","WT","S3C"
"Bcen2424_2985",577.103323990662,-0.590217818837143,0.141050176664724,-4.18445288615335,2.85853722669335e-05,0.0166581256885555,"hypothetical protein","WT","S3C"
"Bcen2424_5856",2430.61996913441,1.17939373510075,0.232753256993347,5.06714170334667,4.03833661672766e-07,0.00031377875511974,"hypothetical protein","WT","S3C"
"Bcen2424_5857",1453.94392959632,1.06065376260328,0.189204630126063,5.60585521557578,2.07229142397997e-08,2.41525565464865e-05,"NAD(P)/FAD-dependent oxidoreductase","WT","S3C"
"BCEN2424_RS00045",123522.524988102,-3.1945527845349,0.907030592766393,-3.521990118097,0.000428320109097764,0.0998414174306888,"23S ribosomal RNA","WT","S3C"
"BCEN2424_RS01625",123522.524988102,-3.1945527845349,0.907030592766393,-3.521990118097,0.000428320109097764,0.0998414174306888,"23S ribosomal RNA","WT","S3C"
"BCEN2424_RS02715",123522.524988102,-3.1945527845349,0.907030592766393,-3.521990118097,0.000428320109097764,0.0998414174306888,"23S ribosomal RNA","WT","S3C"
"BCEN2424_RS11065",136735.017610224,-3.22520443755594,0.896440804269933,-3.59778852345144,0.00032093439358579,0.0998414174306888,"23S ribosomal RNA","WT","S3C"
"Bcen2424_2426",4520.69403376458,-0.964918646430873,0.146871565554013,-6.56981249427765,5.03786610906866e-11,3.4554723642102e-07,"phosphoenolpyruvate carboxylase","WT","T41T"
"Bcen2424_4151",495.494380275461,-0.94953020485538,0.215236790799228,-4.41156087362917,1.02628091706091e-05,0.035196304050604,"hypothetical protein","WT","T41T"
"Bcen2424_4447",1186.62650013326,-0.765610070026455,0.1813090515532,-4.22267980262315,2.41414671704172e-05,0.0551954411072973,"isocitrate lyase","WT","T41T"
