"locusTag","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","abs_log2","abs_stat","name","chromosome","mutant","comparedTo"
"Bcen2424_4811",52.0044636744818,-1.89382949996873,0.250734492342684,-7.55312714367354,4.24929799224687e-14,2.43017352176598e-10,1.89382949996873,7.55312714367354,"type II toxin-antitoxin system Phd/YefM family antitoxin","2","A244T","N274Y"
"Bcen2424_4695",4628.18243667611,-1.39713048325524,0.232451406110822,-6.0104195824445,1.85043781395428e-09,3.78250968083359e-06,1.39713048325524,6.0104195824445,"bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase","2","A244T","N274Y"
"Bcen2424_4810",371.856430233481,-1.36917204149017,0.228229696665461,-5.99909679368806,1.98418063341507e-09,3.78250968083359e-06,1.36917204149017,5.99909679368806,"Fe2+-dependent dioxygenase","2","A244T","N274Y"
"Bcen2424_3444",121.22708455014,-2.06972089093126,0.350776911304559,-5.90039088728461,3.62641380539359e-09,5.01559399137646e-06,2.06972089093126,5.90039088728461,"DUF4160 domain-containing protein","2","A244T","N274Y"
"Bcen2424_4463",2654.57706010398,1.3147667983624,0.224019907398373,5.86897304633005,4.38502709510095e-09,5.01559399137646e-06,1.3147667983624,5.86897304633005,"translation initiation factor IF-1","2","A244T","N274Y"
"Bcen2424_3027",4913.77778161288,1.17368868857348,0.207962161985449,5.64376075613023,1.66375229467663e-08,1.58583322887594e-05,1.17368868857348,5.64376075613023,"flagellar biosynthesis anti-sigma factor FlgM","1","A244T","N274Y"
"Bcen2424_4809",234.378010026125,-1.2041307501327,0.218940494868593,-5.49980829656665,3.80204387072047e-08,2.74084819849542e-05,1.2041307501327,5.49980829656665,"sel1 repeat family protein","2","A244T","N274Y"
"Bcen2424_0375",4550.06135585402,0.892842634797039,0.16238429664251,5.49833113951058,3.83402440775719e-08,2.74084819849542e-05,0.892842634797039,5.49833113951058,"50S ribosomal protein L17","1","A244T","N274Y"
"Bcen2424_4451",94.3330363428877,-1.01809928067805,0.187532430373025,-5.42892383281614,5.66948715615146e-08,3.60264411622558e-05,1.01809928067805,5.42892383281614,"hypothetical protein","2","A244T","N274Y"
"Bcen2424_5095",629.540324831812,1.46001107005032,0.271320717015071,5.38112638840338,7.40211990349179e-08,4.23327237280696e-05,1.46001107005032,5.38112638840338,"glycosyltransferase","2","A244T","N274Y"
"Bcen2424_4808",2557.25369759395,-1.08734729519662,0.202826228545821,-5.36097970658157,8.27718168260922e-08,4.2756277358742e-05,1.08734729519662,5.36097970658157,"TonB-dependent siderophore receptor","2","A244T","N274Y"
"Bcen2424_3961",2809.77929716293,0.670242696271912,0.125363050804358,5.34641341265614,8.97141682645399e-08,4.2756277358742e-05,0.670242696271912,5.34641341265614,"acetyl-CoA carboxylase carboxyltransferase subunit beta","2","A244T","N274Y"
"Bcen2424_0825",2486.20762092685,0.823082088993465,0.154826500028501,5.31615769162223,1.05981312201038e-07,4.6623624959826e-05,0.823082088993465,5.31615769162223,"2-hydroxyacid dehydrogenase","1","A244T","N274Y"
"Bcen2424_2772",861.358940326385,1.78300484134692,0.337482086924223,5.28325772071946,1.26906662481153e-07,5.18413716235512e-05,1.78300484134692,5.28325772071946,"acetyl-CoA C-acetyltransferase","1","A244T","N274Y"
"Bcen2424_0737",39249.8859901767,5.01793115675884,0.963434307065807,5.20837914942144,1.90497360344615e-07,6.82393074456581e-05,5.01793115675884,5.20837914942144,"NO-inducible flavohemoprotein","1","A244T","N274Y"
"Bcen2424_0333",53985.963410556,0.766700136743818,0.147216552526636,5.2079750787881,1.90912557987503e-07,6.82393074456581e-05,0.766700136743818,5.2079750787881,"elongation factor Tu","1","A244T","N274Y"
"Bcen2424_0367",8039.52335378542,1.02889624722676,0.200861559580764,5.1224149079309,3.01647233871209e-07,0.000101477678265261,1.02889624722676,5.1224149079309,"50S ribosomal protein L15","1","A244T","N274Y"
"Bcen2424_2251",2329.72085120528,0.651221388540753,0.130087079950821,5.0060420203678,5.5560633022902e-07,0.000176528477921098,0.651221388540753,5.0060420203678,"triose-phosphate isomerase","1","A244T","N274Y"
"Bcen2424_3880",1265.1185067663,0.869698525605345,0.174453855381276,4.98526400408054,6.18772641673883e-07,0.0001844294014833,0.869698525605345,4.98526400408054,"GTP cyclohydrolase I FolE2","2","A244T","N274Y"
"Bcen2424_2048",3303.29614316804,-1.79052304035422,0.359742100001775,-4.9772407520426,6.4497080427802e-07,0.0001844294014833,1.79052304035422,4.9772407520426,"isocitrate lyase","1","A244T","N274Y"
"Bcen2424_3177",855.02711865573,2.15112123368825,0.433663655283516,4.96034474524252,7.03681832320287e-07,0.000191636019001891,2.15112123368825,4.96034474524252,"fucose-binding lectin II","2","A244T","N274Y"
"Bcen2424_3110",4553.46913621481,0.681697934270281,0.137873322062063,4.94437882597345,7.63870364660766e-07,0.000198571573431587,0.681697934270281,4.94437882597345,"rod shape-determining protein","1","A244T","N274Y"
"Bcen2424_3176",601.484834164421,2.06900766235835,0.42078559695919,4.91701160236959,8.78753453175101e-07,0.000218503956465583,2.06900766235835,4.91701160236959,"fucose-binding lectin II","2","A244T","N274Y"
"Bcen2424_0572",321.883789393415,1.13853874338773,0.232367387927823,4.89973551598979,9.59657521751878e-07,0.000228678390287458,1.13853874338773,4.89973551598979,"NUDIX domain-containing protein","1","A244T","N274Y"
"Bcen2424_2049",240.865594266545,-0.878179271396774,0.179963775097733,-4.87975577818291,1.06217288019987e-06,0.000242982668074523,0.878179271396774,4.87975577818291,"universal stress protein","1","A244T","N274Y"
"Bcen2424_1300",1121.82643802,1.0306022691503,0.211695696110997,4.86831942303602,1.12551302180421e-06,0.00024756957583455,1.0306022691503,4.86831942303602,"phosphate ABC transporter substrate-binding protein PstS","1","A244T","N274Y"
"Bcen2424_5202",388.60867214087,0.918547579828589,0.189759360071294,4.8405916813984,1.29453115653049e-06,0.000274200877192513,0.918547579828589,4.8405916813984,"GlxA family transcriptional regulator","2","A244T","N274Y"
"Bcen2424_4293",414.971002089969,-0.527513924238817,0.109204369933628,-4.83052028558409,1.36176738886411e-06,0.000278140989175495,0.527513924238817,4.83052028558409,"efflux RND transporter permease subunit","2","A244T","N274Y"
"Bcen2424_4865",1115.16480670706,-0.898886188717786,0.186497140399304,-4.81983898945154,1.43674128841917e-06,0.000283335290636869,0.898886188717786,4.81983898945154,"TetR/AcrR family transcriptional regulator","2","A244T","N274Y"
"Bcen2424_0930",470.148098219436,-1.03871026268621,0.217064206083264,-4.7852673705575,1.70759862954757e-06,0.000325525218746085,1.03871026268621,4.7852673705575,"hypothetical protein","1","A244T","N274Y"
"Bcen2424_1132",4099.12191265133,0.574893376841874,0.122634136963512,4.68787395644108,2.76057948406255e-06,0.000488418790665096,0.574893376841874,4.68787395644108,"elongation factor 4","1","A244T","N274Y"
"Bcen2424_3166",986.548425771697,1.12608391532818,0.240290711186345,4.68633976639613,2.78134385288464e-06,0.000488418790665096,1.12608391532818,4.68633976639613,"50S ribosomal protein L34","1","A244T","N274Y"
"Bcen2424_4447",3571.18292725603,-1.29042021857752,0.27564757944509,-4.68141320585974,2.84904018475296e-06,0.000488418790665096,1.29042021857752,4.68141320585974,"isocitrate lyase","2","A244T","N274Y"
"Bcen2424_4963",169.333102479412,-0.870507849640608,0.186104692951926,-4.6775169171337,2.90369625504691e-06,0.000488418790665096,0.870507849640608,4.6775169171337,"acyl-CoA dehydrogenase","2","A244T","N274Y"
"Bcen2424_0356",2056.94966840171,1.22332901974456,0.262907585229003,4.65307617001234,3.27019377406593e-06,0.000534349662682373,1.22332901974456,4.65307617001234,"50S ribosomal protein L29","1","A244T","N274Y"
"Bcen2424_4464",1716.82964747928,1.26751249312161,0.273033275730588,4.64233705481494,3.44490291215662e-06,0.000547261104295103,1.26751249312161,4.64233705481494,"cold-shock protein","2","A244T","N274Y"
"Bcen2424_0358",13691.4872421043,1.03002302982262,0.222985756221306,4.61923239976078,3.85162267493288e-06,0.000595335948052464,1.03002302982262,4.61923239976078,"50S ribosomal protein L14","1","A244T","N274Y"
"Bcen2424_5417",173.928337855017,-0.915586754914617,0.198573044683131,-4.61083102379604,4.01062447907898e-06,0.000603598984101386,0.915586754914617,4.61083102379604,"TetR/AcrR family transcriptional regulator","2","A244T","N274Y"
"Bcen2424_1817",1439.68690867295,0.633834079784591,0.137731383368717,4.60195827764084,4.1853705743998e-06,0.000606243165437369,0.633834079784591,4.60195827764084,"23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD","1","A244T","N274Y"
"Bcen2424_1870",1459.98856595995,0.439477700072149,0.0955542681683338,4.59924719739301,4.24020398977002e-06,0.000606243165437369,0.439477700072149,4.59924719739301,"replicative DNA helicase","1","A244T","N274Y"
"Bcen2424_4746",75.3721558191512,-1.45775708956438,0.318881722154482,-4.57146643500053,4.84322875994554e-06,0.000666350853004558,1.45775708956438,4.57146643500053,"efflux RND transporter periplasmic adaptor subunit","2","A244T","N274Y"
"Bcen2424_0343",5514.13184201543,0.96057962221586,0.2104163489683,4.56513777054737,4.99166411435885e-06,0.000666350853004558,0.96057962221586,4.56513777054737,"30S ribosomal protein S12","1","A244T","N274Y"
"Bcen2424_5240",662.84086531802,-1.44820161556614,0.317284567158978,-4.56436198121324,5.01015678950795e-06,0.000666350853004558,1.44820161556614,4.56436198121324,"isovaleryl-CoA dehydrogenase","2","A244T","N274Y"
"Bcen2424_1957",117.910495179366,-1.05710657407779,0.233201848607837,-4.53301112486235,5.81487513018027e-06,0.000746264357339498,1.05710657407779,4.53301112486235,"hydroxyisourate hydrolase","1","A244T","N274Y"
"Bcen2424_4907",111.23751526242,-0.913057374744381,0.201515793022878,-4.53094698459055,5.8719874244234e-06,0.000746264357339498,0.913057374744381,4.53094698459055,"amino acid permease","2","A244T","N274Y"
"Bcen2424_2298",789.674768525816,0.57102458934396,0.12659746114603,4.51055324628735,6.46587682873066e-06,0.00078079233226095,0.57102458934396,4.51055324628735,"ribosome silencing factor","1","A244T","N274Y"
"Bcen2424_2134",75904.2325257032,0.796220811675783,0.176563885782337,4.50953380498967,6.49702415698069e-06,0.00078079233226095,0.796220811675783,4.50953380498967,"phasin family protein","1","A244T","N274Y"
"Bcen2424_1869",1315.04670924151,0.566202295516729,0.125656104130012,4.50596729412283,6.6071264319127e-06,0.00078079233226095,0.566202295516729,4.50596729412283,"DUF47 domain-containing protein","1","A244T","N274Y"
