"locusTag","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","abs_log2","abs_stat","name","chromosome","mutant","comparedTo"
"Bcen2424_4695",5670.69147253606,-1.37610230639508,0.178297360226812,-7.7180183971571,1.18152150577735e-14,7.96581799195089e-11,1.37610230639508,7.7180183971571,"bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase","2","A244T","N274Y"
"Bcen2424_4811",64.4490986818487,-1.87210893943822,0.260868615873066,-7.17644371735828,7.15480860293425e-13,2.41188598004913e-09,1.87210893943822,7.17644371735828,"type II toxin-antitoxin system Phd/YefM family antitoxin","2","A244T","N274Y"
"Bcen2424_4463",2725.55634221717,1.33470249668662,0.225160711748668,5.92777703677035,3.07063031102597e-09,6.31776456749394e-06,1.33470249668662,5.92777703677035,"translation initiation factor IF-1","2","A244T","N274Y"
"Bcen2424_5701",3193.67152212782,1.04451436890415,0.177188463913882,5.89493438699151,3.7483029175283e-09,6.31776456749394e-06,1.04451436890415,5.89493438699151,"glycine C-acetyltransferase","2","A244T","N274Y"
"Bcen2424_5999",614.490845790687,0.965586716881733,0.167994234108468,5.74773724828133,9.04456422765152e-09,1.21956904045653e-05,0.965586716881733,5.74773724828133,"LysR family transcriptional regulator","3","A244T","N274Y"
"Bcen2424_4810",455.679269584806,-1.34805356636622,0.235910818285729,-5.71425073323047,1.10188432760923e-08,1.2381506894569e-05,1.34805356636622,5.71425073323047,"Fe2+-dependent dioxygenase","2","A244T","N274Y"
"Bcen2424_3444",119.823887319654,-2.04887802788819,0.36641324510419,-5.59171387842595,2.24839111362971e-08,2.16552184115593e-05,2.04887802788819,5.59171387842595,"DUF4160 domain-containing protein","2","A244T","N274Y"
"Bcen2424_6212",1377.63325971131,-0.758881385386932,0.139879271450409,-5.42525977950905,5.78703113680554e-08,4.01987304451552e-05,0.758881385386932,5.42525977950905,"DUF2384 domain-containing protein","3","A244T","N274Y"
"Bcen2424_0737",37714.485238846,5.03622294507752,0.92856580207008,5.42365757370141,5.83916933100047e-08,4.01987304451552e-05,5.03622294507752,5.42365757370141,"NO-inducible flavohemoprotein","1","A244T","N274Y"
"Bcen2424_2772",728.494086530286,1.80448753456264,0.33293594115714,5.41992410999853,5.9624340618741e-08,4.01987304451552e-05,1.80448753456264,5.41992410999853,"acetyl-CoA C-acetyltransferase","1","A244T","N274Y"
"Bcen2424_3027",5121.80766325348,1.19511596438266,0.224487447224008,5.32375408585805,1.01647302196218e-07,6.23005555824456e-05,1.19511596438266,5.32375408585805,"flagellar biosynthesis anti-sigma factor FlgM","1","A244T","N274Y"
"Bcen2424_5702",1726.90722243594,1.13043078820125,0.213206830161584,5.30203834156966,1.14516781530547e-07,6.40866383059523e-05,1.13043078820125,5.30203834156966,"L-threonine 3-dehydrogenase","2","A244T","N274Y"
"Bcen2424_0375",4906.58640258868,0.912998918361606,0.172650591501621,5.28813084519918,1.23572574603586e-07,6.40866383059523e-05,0.912998918361606,5.28813084519918,"50S ribosomal protein L17","1","A244T","N274Y"
"Bcen2424_4451",104.278441265741,-0.997967770675612,0.191008587779994,-5.22472723490885,1.74412020749727e-07,8.39918459924758e-05,0.997967770675612,5.22472723490885,"hypothetical protein","2","A244T","N274Y"
"Bcen2424_0572",348.907901580356,1.15889027289936,0.222598782972791,5.20618422716631,1.92763277912005e-07,8.66406679788492e-05,1.15889027289936,5.20618422716631,"NUDIX domain-containing protein","1","A244T","N274Y"
"Bcen2424_0367",8552.29300268988,1.04935670969179,0.2040104179789,5.14364276142173,2.69461711522681e-07,0.00011354442869287,1.04935670969179,5.14364276142173,"50S ribosomal protein L15","1","A244T","N274Y"
"Bcen2424_4809",290.120901526893,-1.18295271564901,0.232280538210953,-5.09277585096117,3.52858778107137e-07,0.000139939640117548,1.18295271564901,5.09277585096117,"sel1 repeat family protein","2","A244T","N274Y"
"Bcen2424_5095",579.755089020742,1.48133895238954,0.296637982861673,4.9937601992133,5.92149149250349e-07,0.000221792753569214,1.48133895238954,4.9937601992133,"glycosyltransferase","2","A244T","N274Y"
"Bcen2424_5975",1528.51037856181,2.02059107995349,0.406097404654611,4.97563160166467,6.503523173905e-07,0.000230772385465618,2.02059107995349,4.97563160166467,"cyclase family protein","3","A244T","N274Y"
"Bcen2424_2046",2497.42475011071,1.00510259627367,0.202647168351843,4.95986499317165,7.05421881622384e-07,0.000237797716294906,1.00510259627367,4.95986499317165,"acyl-CoA-binding protein","1","A244T","N274Y"
"Bcen2424_1132",4418.79080690117,0.594941760896093,0.120594525624105,4.93340603826858,8.08079245451835e-07,0.000253342056203225,0.594941760896093,4.93340603826858,"elongation factor 4","1","A244T","N274Y"
"Bcen2424_0358",15273.5162275635,1.05005209662608,0.213170054626126,4.92588932562665,8.39775224235286e-07,0.000253342056203225,1.05005209662608,4.92588932562665,"50S ribosomal protein L14","1","A244T","N274Y"
"Bcen2424_1813",3726.30233742848,0.654417500529536,0.133250346038024,4.9111880005384,9.05262403611809e-07,0.000253342056203225,0.654417500529536,4.9111880005384,"helix-turn-helix domain-containing protein","1","A244T","N274Y"
"Bcen2424_2251",2492.0112253341,0.67140150811064,0.13683659866081,4.9065930802249,9.26720194032961e-07,0.000253342056203225,0.67140150811064,4.9065930802249,"triose-phosphate isomerase","1","A244T","N274Y"
"Bcen2424_3176",548.474890458524,2.08836910589154,0.425856903639269,4.9039221579945,9.39417295324924e-07,0.000253342056203225,2.08836910589154,4.9039221579945,"fucose-binding lectin II","2","A244T","N274Y"
"Bcen2424_0825",2602.1510073026,0.84292385381988,0.173201786006054,4.86671571498932,1.1346806304482e-06,0.000294231415787759,0.84292385381988,4.86671571498932,"2-hydroxyacid dehydrogenase","1","A244T","N274Y"
"Bcen2424_0333",59300.4965310243,0.786914811108298,0.162680565743894,4.83717773853288,1.31695658156123e-06,0.000328848936032809,0.786914811108298,4.83717773853288,"elongation factor Tu","1","A244T","N274Y"
"Bcen2424_3880",1347.90771539807,0.889925612603897,0.184628077429425,4.82009900657757,1.43486993688333e-06,0.00034549618265955,0.889925612603897,4.82009900657757,"GTP cyclohydrolase I FolE2","2","A244T","N274Y"
"Bcen2424_3177",778.378181789922,2.1708412572639,0.453658060074757,4.78519274386125,1.70823323543845e-06,0.000383201941929942,2.1708412572639,4.78519274386125,"fucose-binding lectin II","2","A244T","N274Y"
"Bcen2424_3961",2983.35995715811,0.690441425630322,0.144341985592963,4.78337209228458,1.72378598660413e-06,0.000383201941929942,0.690441425630322,4.78337209228458,"acetyl-CoA carboxylase carboxyltransferase subunit beta","2","A244T","N274Y"
"Bcen2424_2018",12989.9996362841,1.03220268722609,0.216075766750837,4.77704049254331,1.7789396148592e-06,0.000383201941929942,1.03220268722609,4.77704049254331,"elongation factor Ts","1","A244T","N274Y"
"Bcen2424_4808",3194.85708872664,-1.06641467351993,0.22344620357286,-4.77257906586987,1.81881669263692e-06,0.000383201941929942,1.06641467351993,4.77257906586987,"TonB-dependent siderophore receptor","2","A244T","N274Y"
"Bcen2424_4746",88.5057616760914,-1.4358785021162,0.302929027732819,-4.73998319957185,2.13735940404031e-06,0.000434860154472651,1.4358785021162,4.73998319957185,"efflux RND transporter periplasmic adaptor subunit","2","A244T","N274Y"
"Bcen2424_2048",4097.67783580913,-1.77214132605196,0.374282227923402,-4.73477283675526,2.19300582202168e-06,0.000434860154472651,1.77214132605196,4.73477283675526,"isocitrate lyase","1","A244T","N274Y"
"Bcen2424_5202",392.668796372442,0.938979759388573,0.198618996857936,4.72754255253935,2.2725344902643e-06,0.00043775507238177,0.938979759388573,4.72754255253935,"GlxA family transcriptional regulator","2","A244T","N274Y"
"Bcen2424_4293",442.130655252547,-0.507719678844995,0.107821725621885,-4.70888103410156,2.49080387267837e-06,0.000466472214155487,0.507719678844995,4.70888103410156,"efflux RND transporter permease subunit","2","A244T","N274Y"
"Bcen2424_3110",4894.14967666505,0.701792018771185,0.150646929865851,4.65852187891331,3.18487961629125e-06,0.000580336712784745,0.701792018771185,4.65852187891331,"rod shape-determining protein","1","A244T","N274Y"
"Bcen2424_1298",256.6264899083,1.57496677702566,0.34194011643915,4.60597251187383,4.1054262305871e-06,0.000728389043332059,1.57496677702566,4.60597251187383,"dihydropteroate synthase","1","A244T","N274Y"
"Bcen2424_4464",1845.28385133808,1.28875942796457,0.280862714343262,4.58857428255672,4.46283503324353e-06,0.000771498302413536,1.28875942796457,4.58857428255672,"cold-shock protein","2","A244T","N274Y"
"Bcen2424_3188",1640.24782443309,2.34032135578458,0.511031013021677,4.57960729613353,4.65849763020769e-06,0.000785189775571506,2.34032135578458,4.57960729613353,"SRPBCC family protein","2","A244T","N274Y"
"Bcen2424_1540",114.639047825009,1.13507728424206,0.248690746292582,4.56421198280799,5.01373989822479e-06,0.000819393532417946,1.13507728424206,4.56421198280799,"carbohydrate kinase","1","A244T","N274Y"
"Bcen2424_1572",4917.16589987536,1.78986892032914,0.392476690347304,4.56044642739236,5.10449842206374e-06,0.000819393532417946,1.78986892032914,4.56044642739236,"curculin (mannose-binding) lectin","1","A244T","N274Y"
"Bcen2424_1871",6651.54290604089,0.877825959779061,0.193443826615962,4.53788562362232,5.68210624869772e-06,0.00089090140299349,0.877825959779061,4.53788562362232,"50S ribosomal protein L9","1","A244T","N274Y"
"Bcen2424_0930",525.639684982171,-1.01798740265034,0.22479396466673,-4.52853529301628,5.93939618191307e-06,0.000895762080091971,1.01798740265034,4.52853529301628,"hypothetical protein","1","A244T","N274Y"
"Bcen2424_1071",2052.42982198341,0.971337753024253,0.214558973470202,4.52713646655824,5.97883322517631e-06,0.000895762080091971,0.971337753024253,4.52713646655824,"tRNA (guanosine(37)-N1)-methyltransferase TrmD","1","A244T","N274Y"
"Bcen2424_0178",640.109124628262,-1.0245276542146,0.229233009195415,-4.469372268028,7.84494905639106e-06,0.00114979666387366,1.0245276542146,4.469372268028,"TetR/AcrR family transcriptional regulator","1","A244T","N274Y"
"Bcen2424_1300",1208.35175588154,1.05040246563369,0.235511776168119,4.46008468334027,8.19272749362321e-06,0.00117522061195761,1.05040246563369,4.46008468334027,"phosphate ABC transporter substrate-binding protein PstS","1","A244T","N274Y"
"Bcen2424_2049",263.665694566829,-0.859347159439045,0.192933197700543,-4.45411764113745,8.42389051219018e-06,0.00118320562152471,0.859347159439045,4.45411764113745,"universal stress protein","1","A244T","N274Y"
"Bcen2424_2134",80783.8870627162,0.816263905617356,0.183557433182425,4.44691283521125,8.71131645387755e-06,0.00119860603126617,0.816263905617356,4.44691283521125,"phasin family protein","1","A244T","N274Y"
"Bcen2424_2276",1143.28459124411,1.25126746154967,0.283639248905582,4.41147502109692,1.02668800120287e-05,0.00138438610082195,1.25126746154967,4.41147502109692,"glycosyl transferase","1","A244T","N274Y"
"Bcen2424_4963",188.988371230189,-0.850470548628992,0.193887045323438,-4.38642276078969,1.15230056983054e-05,0.00152329616505834,0.850470548628992,4.38642276078969,"acyl-CoA dehydrogenase","2","A244T","N274Y"
"Bcen2424_5977",342.491434920496,2.21335945522722,0.506262143975946,4.37196318461526,1.23134292261246e-05,0.00159648345851023,2.21335945522722,4.37196318461526,"porin","3","A244T","N274Y"
"Bcen2424_1500",30135.6926035095,0.82017046132457,0.188180305512276,4.35842879036599,1.30999531714532e-05,0.00165215700245029,0.82017046132457,4.35842879036599,"translation initiation factor IF-2","1","A244T","N274Y"
"Bcen2424_4907",123.901413836791,-0.89233418314456,0.204841521136463,-4.35621732446567,1.32329395034583e-05,0.00165215700245029,0.89233418314456,4.35621732446567,"amino acid permease","2","A244T","N274Y"
"Bcen2424_1118",3251.85311465823,0.99599738320438,0.229011648170512,4.34911233188805,1.36689686604942e-05,0.00167556703107367,0.99599738320438,4.34911233188805,"DUF177 domain-containing protein","1","A244T","N274Y"
"Bcen2424_0356",2218.39746142817,1.24308711854267,0.286299405205423,4.34191303209567,1.41247446151578e-05,0.00170051836063204,1.24308711854267,4.34191303209567,"50S ribosomal protein L29","1","A244T","N274Y"
"Bcen2424_5240",821.652005340285,-1.42804142141901,0.329560643129604,-4.33316735838937,1.46979291123155e-05,0.0017384813697409,1.42804142141901,4.33316735838937,"isovaleryl-CoA dehydrogenase","2","A244T","N274Y"
"Bcen2424_0317",4219.40067651517,0.875800433386554,0.202573850506345,4.32336370759327,1.53668085334447e-05,0.001765013004496,0.875800433386554,4.32336370759327,"orotate phosphoribosyltransferase","1","A244T","N274Y"
"Bcen2424_5974",1655.5456850987,1.61724881304645,0.374169783921938,4.32223253330327,1.54458272419555e-05,0.001765013004496,1.61724881304645,4.32223253330327,"TetR/AcrR family transcriptional regulator","3","A244T","N274Y"
"Bcen2424_2010",3241.44800441271,0.458090888791172,0.106550110854944,4.29929997365099,1.71338435250418e-05,0.0019252728840972,0.458090888791172,4.29929997365099,"OmpH family outer membrane protein","1","A244T","N274Y"
