"locusTag","baseMean","log2FoldChange","lfcSE","pvalue","padj","abs_log2","name","chromosome","mutant","comparedTo"
"Bcen2424_0085",586.603602653052,0.684242689471599,0.351773583899168,0.0031122620800513,0.0338571819972894,0.684242689471599,"ABC transporter substrate-binding protein","1","A244T","WT"
"Bcen2424_0127",946.682168338415,-0.68464055329232,0.279635720417464,0.00102260794432219,0.0175616659108741,0.68464055329232,"mechanosensitive ion channel","1","A244T","WT"
"Bcen2424_0187",3300.79163038932,0.824968505454647,0.48366267051473,0.0036288412176829,0.0364691839194997,0.824968505454647,"hypothetical protein","1","A244T","WT"
"Bcen2424_0188",5280.81747507193,0.839289526775335,0.41991766760867,0.00214590703430138,0.0269077468448856,0.839289526775335,"ImmA/IrrE family metallo-endopeptidase","1","A244T","WT"
"Bcen2424_0226",932.512104640845,1.44206870738844,0.360165280988544,2.997320035665e-06,0.000481353395997876,1.44206870738844,"hypothetical protein","1","A244T","WT"
"Bcen2424_0242",2917.82704737662,0.696009865960838,0.323410406440663,0.00203361005231892,0.0262689368062588,0.696009865960838,"30S ribosomal protein S21","1","A244T","WT"
"Bcen2424_0248",3339.57675215758,-1.81977226725009,0.426264069432704,8.4961367720362e-07,0.000201936178797756,1.81977226725009,"aquaporin Z","1","A244T","WT"
"Bcen2424_0249",471.592171119743,-1.29943161469146,0.365918529942009,1.80854609422165e-05,0.00149255290164793,1.29943161469146,"H-NS histone family protein","1","A244T","WT"
"Bcen2424_0287",108.96209133708,0.91904639305491,0.348888682865356,0.00045183378400938,0.0104920231951138,0.91904639305491,"hypothetical protein","1","A244T","WT"
"Bcen2424_0315",246.738994525624,-0.660389575159445,0.174872177148724,1.54842444100524e-05,0.00141549815822356,0.660389575159445,"flavodoxin family protein","1","A244T","WT"
"Bcen2424_0317",3855.98378494161,0.757880314751628,0.216325001972491,3.03479337894345e-05,0.00228262560223822,0.757880314751628,"orotate phosphoribosyltransferase","1","A244T","WT"
"Bcen2424_0333",53994.1469207321,0.593586836736458,0.154849559036369,1.433268971095e-05,0.001351822893055,0.593586836736458,"elongation factor Tu","1","A244T","WT"
"Bcen2424_0336",6797.89584827829,0.883493923890669,0.242441123003491,1.69186703513157e-05,0.00148047108826329,0.883493923890669,"50S ribosomal protein L11","1","A244T","WT"
"Bcen2424_0337",10134.4913755619,0.696931452091906,0.239458568775652,0.000284989440289455,0.00838320422871257,0.696931452091906,"50S ribosomal protein L1","1","A244T","WT"
"Bcen2424_0338",11815.5874405403,0.631917047581375,0.208326397795579,0.000225404651310994,0.00738541610003896,0.631917047581375,"50S ribosomal protein L10","1","A244T","WT"
"Bcen2424_0343",5517.21830714279,0.857823164436354,0.223836887941577,9.54735088939126e-06,0.000995269455873033,0.857823164436354,"30S ribosomal protein S12","1","A244T","WT"
"Bcen2424_0344",10218.4956963179,0.805812348449657,0.251463016590703,9.34954530987795e-05,0.00411518505416998,0.805812348449657,"30S ribosomal protein S7","1","A244T","WT"
"Bcen2424_0345",27623.9375866542,0.886134826726255,0.347394536148825,0.000472044115552959,0.0107466901709413,0.886134826726255,"elongation factor G","1","A244T","WT"
"Bcen2424_0347",4376.51139898328,0.771679016873066,0.325542683827046,0.000983528288095419,0.0171509676882298,0.771679016873066,"30S ribosomal protein S10","1","A244T","WT"
"Bcen2424_0348",11954.7040843819,0.917123229490012,0.337150673644812,0.000355410175862081,0.00934445692465702,0.917123229490012,"50S ribosomal protein L3","1","A244T","WT"
"Bcen2424_0349",18000.9706526379,0.906787745528498,0.418528433083978,0.0012070949336163,0.0193330406888088,0.906787745528498,"50S ribosomal protein L4","1","A244T","WT"
"Bcen2424_0350",8928.77970193772,0.928868199928717,0.354700126985368,0.000461964925481736,0.0106443867372942,0.928868199928717,"50S ribosomal protein L23","1","A244T","WT"
"Bcen2424_0351",11919.5595447192,0.933457924552647,0.351858874679676,0.000388132872479698,0.00982285654447796,0.933457924552647,"50S ribosomal protein L2","1","A244T","WT"
"Bcen2424_0352",8376.97242397238,0.630461087032483,0.428817229021446,0.00706709250356128,0.0532226408823335,0.630461087032483,"30S ribosomal protein S19","1","A244T","WT"
"Bcen2424_0353",3568.53470593938,0.964452553337789,0.295480224690289,6.34940567369335e-05,0.00319730241636321,0.964452553337789,"50S ribosomal protein L22","1","A244T","WT"
"Bcen2424_0354",17459.1598753276,0.734011327574179,0.334257301854233,0.00156503301781925,0.022408255884053,0.734011327574179,"30S ribosomal protein S3","1","A244T","WT"
"Bcen2424_0355",8861.30905158291,0.81015519798413,0.285366371939651,0.000254717839234704,0.00796596526701373,0.81015519798413,"50S ribosomal protein L16","1","A244T","WT"
"Bcen2424_0356",2058.24328754602,1.01809306755523,0.281618572377523,1.65861768695001e-05,0.00148047108826329,1.01809306755523,"50S ribosomal protein L29","1","A244T","WT"
"Bcen2424_0357",8451.41162796116,0.66272108712107,0.272075934696574,0.00113023199352948,0.0184637263579384,0.66272108712107,"30S ribosomal protein S17","1","A244T","WT"
"Bcen2424_0358",13698.9216842895,0.861323263745655,0.238641916753054,1.90514241562251e-05,0.0015507337306341,0.861323263745655,"50S ribosomal protein L14","1","A244T","WT"
"Bcen2424_0359",9305.61007937181,0.962138316129638,0.282633781369148,3.45929050686927e-05,0.00242114689058594,0.962138316129638,"50S ribosomal protein L24","1","A244T","WT"
"Bcen2424_0360",13698.8929197123,1.02826535920822,0.318472632402845,6.23173435470209e-05,0.00316486884919998,1.02826535920822,"50S ribosomal protein L5","1","A244T","WT"
"Bcen2424_0361",12813.2015900553,0.903840789231658,0.373970672015038,0.000658254861993548,0.0135340843943448,0.903840789231658,"30S ribosomal protein S14","1","A244T","WT"
"Bcen2424_0362",11465.9258391519,1.02381880923163,0.302084022406425,3.93660347836656e-05,0.00265810203050615,1.02381880923163,"30S ribosomal protein S8","1","A244T","WT"
"Bcen2424_0363",14447.7391602986,1.00313948915537,0.31093777820023,6.9785468800207e-05,0.00342698558356058,1.00313948915537,"50S ribosomal protein L6","1","A244T","WT"
"Bcen2424_0364",9096.51791220521,0.970039860521693,0.295038339157779,4.61338576061664e-05,0.00283009687029197,0.970039860521693,"50S ribosomal protein L18","1","A244T","WT"
"Bcen2424_0365",8971.5008502157,0.940014155362864,0.29487794928238,6.83353046445796e-05,0.00338373650165077,0.940014155362864,"30S ribosomal protein S5","1","A244T","WT"
"Bcen2424_0366",3508.34365918327,0.794921169831621,0.238017051474334,6.02796364220209e-05,0.00311340013839969,0.794921169831621,"50S ribosomal protein L30","1","A244T","WT"
"Bcen2424_0367",8042.00984436037,0.863701649139362,0.211953803487576,3.51125006797954e-06,0.000508874339120351,0.863701649139362,"50S ribosomal protein L15","1","A244T","WT"
"Bcen2424_0368",14449.9774691661,0.940157210172227,0.2933037230059,7.92492779821173e-05,0.00376314117182657,0.940157210172227,"preprotein translocase subunit SecY","1","A244T","WT"
"Bcen2424_0369",4406.0229344238,1.02841117895078,0.284836326961947,1.7599093449982e-05,0.00149255290164793,1.02841117895078,"translation initiation factor IF-1","1","A244T","WT"
"Bcen2424_0370",3779.80736005187,0.743410926082784,0.264158473037345,0.000346361696767108,0.00934445692465702,0.743410926082784,"50S ribosomal protein L36","1","A244T","WT"
"Bcen2424_0371",14672.546262706,0.721963436907271,0.210631925010965,4.98031861776052e-05,0.0029891972956296,0.721963436907271,"30S ribosomal protein S13","1","A244T","WT"
"Bcen2424_0372",10891.6390724261,0.881331695331448,0.219241692572839,4.23763091073208e-06,0.000572272792535683,0.881331695331448,"30S ribosomal protein S11","1","A244T","WT"
"Bcen2424_0373",10971.2649863974,0.917754941705385,0.218501049202819,1.89845110869221e-06,0.000341836257207549,0.917754941705385,"30S ribosomal protein S4","1","A244T","WT"
"Bcen2424_0374",13162.7706898926,0.762497948540648,0.211821881551505,2.48607693754819e-05,0.00196963588838818,0.762497948540648,"DNA-directed RNA polymerase subunit alpha","1","A244T","WT"
"Bcen2424_0375",4550.81118220429,0.593110891761993,0.171701031318093,5.94412135913917e-05,0.00311340013839969,0.593110891761993,"50S ribosomal protein L17","1","A244T","WT"
"Bcen2424_0438",951.772931976487,0.611564118075774,0.225695819046527,0.000627810665755057,0.0132285495599878,0.611564118075774,"twin-arginine translocase subunit TatC","1","A244T","WT"
"Bcen2424_0492",459.523959961252,-1.38526278195458,0.276850849690862,2.93462288266763e-08,1.937503240979e-05,1.38526278195458,"peptidase M1","1","A244T","WT"
"Bcen2424_0503",3980.10013668195,1.3555221365459,0.402735981281249,3.46343799562108e-05,0.00242114689058594,1.3555221365459,"cold-shock protein","1","A244T","WT"
"Bcen2424_0534",1417.00251936008,0.617283776215686,0.160890675649254,1.22475171184508e-05,0.00121291244529724,0.617283776215686,"anthranilate synthase component I","1","A244T","WT"
"Bcen2424_0570",2164.05370856614,0.606880713522213,0.276041708990142,0.0020386246740577,0.0262765896165962,0.606880713522213,"bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ","1","A244T","WT"
"Bcen2424_0572",321.937352308389,0.766954910368998,0.247986955191815,0.000145637563476998,0.00551196434509758,0.766954910368998,"NUDIX domain-containing protein","1","A244T","WT"
"Bcen2424_0581",12377.3753478233,0.877150546218059,0.261782062727311,4.51724031629419e-05,0.00282541494309685,0.877150546218059,"50S ribosomal protein L21","1","A244T","WT"
"Bcen2424_0582",7339.75770853701,0.693572708615147,0.220135079981114,0.000137052410125121,0.00535766724318071,0.693572708615147,"50S ribosomal protein L27","1","A244T","WT"
"Bcen2424_0659",168.799895124096,0.776274469202472,0.686145054528746,0.00736985358572977,0.0542647707638244,0.776274469202472,"MurR/RpiR family transcriptional regulator","1","A244T","WT"
"Bcen2424_0661",1891.29325891642,1.05162968029636,0.621337035742392,0.0028182810125953,0.0322623749945381,1.05162968029636,"bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase","1","A244T","WT"
"Bcen2424_0677",657.078145223034,0.705532265736636,0.263799664500083,0.000548656399573569,0.011849262703779,0.705532265736636,"OsmC family protein","1","A244T","WT"
"Bcen2424_0679",18230.5398188483,0.655571803029895,0.19874114931101,8.92829574448967e-05,0.00400494914077086,0.655571803029895,"50S ribosomal protein L13","1","A244T","WT"
"Bcen2424_0722",1031.86687516415,0.740608784756286,0.273794061138035,0.000469075350126315,0.0107201758863483,0.740608784756286,"tRNA guanosine(34) transglycosylase Tgt","1","A244T","WT"
"Bcen2424_0753",5223.20324920052,0.628803209865239,1.5224027015716,0.00983617035619712,0.0635032949456158,0.628803209865239,"molecular chaperone DnaJ","1","A244T","WT"
"Bcen2424_0754",815.214392486875,0.766604564776594,0.658491203677911,0.00738989068143953,0.0543449634023684,0.766604564776594,"aminodeoxychorismate synthase component I","1","A244T","WT"
"Bcen2424_0786",337.495946529786,-0.916728330321602,0.244136836207453,1.08315326092599e-05,0.0010908638434614,0.916728330321602,"adenylyl-sulfate kinase","1","A244T","WT"
"Bcen2424_0803",526.031687798793,0.60653740411576,0.218228973254073,0.000497734990400354,0.0111185763645072,0.60653740411576,"protein TolQ","1","A244T","WT"
"Bcen2424_0809",885.565765671738,0.626756932624719,0.211266872615473,0.000290433791323833,0.00850126890663159,0.626756932624719,"DUF3318 domain-containing protein","1","A244T","WT"
"Bcen2424_0810",1148.84612905839,0.707952040221291,0.199695124310974,3.36740223627973e-05,0.00241073543228604,0.707952040221291,"membrane protein","1","A244T","WT"
"Bcen2424_0849",60.5063344513402,0.661327415765554,0.23371070012554,0.000403060023468858,0.0100208479474977,0.661327415765554,"ABC transporter substrate-binding protein","1","A244T","WT"
"Bcen2424_0970",1076.75735129972,0.591411498243864,0.302666496906088,0.00391462986098374,0.0377001814729069,0.591411498243864,"carbohydrate ABC transporter permease","1","A244T","WT"
"Bcen2424_0974",5445.03953621029,1.29280098767524,0.652144739060449,0.0014658033538676,0.0220041606620642,1.29280098767524,"thioredoxin-disulfide reductase","1","A244T","WT"
"Bcen2424_0985",843.008767829736,0.695359129132572,0.12575405307831,3.18445396419436e-09,3.78440509104857e-06,0.695359129132572,"cell division topological specificity factor MinE","1","A244T","WT"
"Bcen2424_1045",994.482425347862,0.599811290946067,0.231055698363464,0.000870315029129714,0.0159120366248885,0.599811290946067,"3-phosphoshikimate 1-carboxyvinyltransferase","1","A244T","WT"
"Bcen2424_1047",48070.5471061625,0.693558851312526,0.232471387535664,0.000230190778297701,0.00743366089480944,0.693558851312526,"30S ribosomal protein S1","1","A244T","WT"
"Bcen2424_1061",459.892545565924,0.690185804753092,0.229362133685021,0.000213695457964243,0.00721465006377008,0.690185804753092,"MetQ/NlpA family ABC transporter substrate-binding protein","1","A244T","WT"
"Bcen2424_1070",2986.71616715477,0.72522472168939,0.263679874702318,0.000436238040090321,0.0104101463221554,0.72522472168939,"ribosome maturation factor RimM","1","A244T","WT"
"Bcen2424_1072",15012.2077155465,0.616696724565115,0.267400216316107,0.00166963661210317,0.0230586599620884,0.616696724565115,"50S ribosomal protein L19","1","A244T","WT"
"Bcen2424_1110",10625.2895306531,0.654776911616729,0.302657374979438,0.00216554957506594,0.0269198652197528,0.654776911616729,"Rne/Rng family ribonuclease","1","A244T","WT"
"Bcen2424_1114",269.318186660542,0.697148558648727,0.251195069724904,0.00042226277336828,0.0102556775064838,0.697148558648727,"Rieske 2Fe-2S domain-containing protein","1","A244T","WT"
"Bcen2424_1119",9319.57896923156,0.611822607895405,0.295796936720662,0.00295490270614899,0.0329418984614208,0.611822607895405,"50S ribosomal protein L32","1","A244T","WT"
"Bcen2424_1120",2470.57355617138,0.836601916880117,0.334582265998632,0.000701974732983748,0.0140916684573967,0.836601916880117,"phosphate acyltransferase PlsX","1","A244T","WT"
"Bcen2424_1126",110.606551187093,0.712960960445666,0.251036772311817,0.000342261745759218,0.00934445692465702,0.712960960445666,"hypothetical protein","1","A244T","WT"
"Bcen2424_1129",2782.04536759187,0.631912432158073,0.308193634157809,0.00272729873187929,0.0313454720789686,0.631912432158073,"sugar dehydratase","1","A244T","WT"
"Bcen2424_1141",7697.25707445336,0.593277302750069,0.243830671391458,0.00135779458330025,0.0211758934749872,0.593277302750069,"elongation factor P","1","A244T","WT"
"Bcen2424_1243",356.234976097414,1.17359961224472,0.30655374502491,6.71735296739803e-06,0.000777345352853215,1.17359961224472,"3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) subunit alpha","1","A244T","WT"
"Bcen2424_1244",218.113929167769,1.02675192384133,0.354625431010686,0.00019189837216927,0.0065532191231598,1.02675192384133,"alpha-ketoacid dehydrogenase subunit beta","1","A244T","WT"
"Bcen2424_1245",327.541356405957,0.954853900023906,0.333410122319072,0.00022193318555487,0.00738541610003896,0.954853900023906,"2-oxo acid dehydrogenase subunit E2","1","A244T","WT"
"Bcen2424_1246",236.601252823933,0.846169083240705,0.348641545745204,0.000825413624632515,0.0154661133213045,0.846169083240705,"dihydrolipoyl dehydrogenase","1","A244T","WT"
"Bcen2424_1260",66.6517625013062,0.972254453011913,0.520920139288313,0.00230326282581005,0.0280450567847609,0.972254453011913,"TerC family protein","1","A244T","WT"
"Bcen2424_1281",7249.61347151936,1.06631282140326,0.695081540272316,0.00348950260464916,0.0359564116565197,1.06631282140326,"glycine betaine/L-proline transporter ProP","1","A244T","WT"
"Bcen2424_1290",2073.27254246277,1.00898430723627,0.350431894377019,0.000203139285403338,0.00689744933638075,1.00898430723627,"glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit","1","A244T","WT"
"Bcen2424_1291",564.79847547734,0.957793436956937,0.352876393941903,0.000355341436435364,0.00934445692465702,0.957793436956937,"leucine efflux protein LeuE","1","A244T","WT"
"Bcen2424_1292",4360.4187201498,0.935465384371915,0.271411432538802,3.119492271247e-05,0.00228839791058638,0.935465384371915,"carbamoyl-phosphate synthase large subunit","1","A244T","WT"
"Bcen2424_1296",2404.24472677604,0.913329082561285,0.715801009494877,0.00543755386458864,0.045747664546471,0.913329082561285,"RlmE family RNA methyltransferase","1","A244T","WT"
"Bcen2424_1297",40730.4616598388,0.636454048330134,0.599268799468487,0.010365241123817,0.0645963921307884,0.636454048330134,"ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein","1","A244T","WT"
"Bcen2424_1298",224.055976278571,1.21253527926093,0.517587714508561,0.000714377665450439,0.0142444029802232,1.21253527926093,"dihydropteroate synthase","1","A244T","WT"
"Bcen2424_1299",1266.29455402537,0.8825124729848,0.308854824990462,0.00024926235639161,0.00793767416979488,0.8825124729848,"phosphoglucosamine mutase","1","A244T","WT"
"Bcen2424_1300",1122.19210828992,1.00612012384069,0.22209925138155,3.69594327603763e-07,0.000103888564492611,1.00612012384069,"phosphate ABC transporter substrate-binding protein PstS","1","A244T","WT"
"Bcen2424_1301",124.225939567538,0.988017280742637,0.205979454004546,1.11047082336199e-07,3.68557124366138e-05,0.988017280742637,"phosphate ABC transporter permease PstC","1","A244T","WT"
"Bcen2424_1302",109.218958174204,0.5840793269245,0.176802782743391,0.000103806135734943,0.00446968158360167,0.5840793269245,"phosphate ABC transporter permease PstA","1","A244T","WT"
"Bcen2424_1359",838.266119737843,1.26439640108821,0.382474015465105,4.43970505629251e-05,0.00280646036643512,1.26439640108821,"sigma-70 family RNA polymerase sigma factor","1","A244T","WT"
"Bcen2424_1360",321.303232411838,1.11600566687824,0.448620856248139,0.000544319685162626,0.011849262703779,1.11600566687824,"DUF4880 domain-containing protein","1","A244T","WT"
"Bcen2424_1361",176.233310767074,0.994756112272479,0.275324713777856,1.80609898240658e-05,0.00149255290164793,0.994756112272479,"TonB-dependent receptor","1","A244T","WT"
"Bcen2424_1362",76.0796798624582,1.36091134986268,0.268132390450108,2.4021050376011e-08,1.78416351667821e-05,1.36091134986268,"hypothetical protein","1","A244T","WT"
"Bcen2424_1435",1290.25370799719,-0.947835454714761,0.311709020757223,0.000129439953710325,0.00533095730616874,0.947835454714761,"hypothetical protein","1","A244T","WT"
"Bcen2424_1477",35269.8905878273,0.785313671395405,0.336712771815438,0.00104334915658391,0.017763841514102,0.785313671395405,"50S ribosomal protein L35","1","A244T","WT"
"Bcen2424_1478",12742.3953965773,0.699055933723902,0.246464616755814,0.000353762417441132,0.00934445692465702,0.699055933723902,"50S ribosomal protein L20","1","A244T","WT"
"Bcen2424_1479",1699.74474634949,0.698183190780935,0.226076392757772,0.000158784053117344,0.00578831192406907,0.698183190780935,"phenylalanine--tRNA ligase subunit alpha","1","A244T","WT"
"Bcen2424_1498",3435.0557172401,0.677396694147672,0.321458175469909,0.00231474989248554,0.0280704069228819,0.677396694147672,"ribosome maturation factor RimP","1","A244T","WT"
"Bcen2424_1499",9051.69735387718,0.639619568751233,0.237512733036537,0.00063493214584668,0.0132377782828806,0.639619568751233,"transcription termination/antitermination protein NusA","1","A244T","WT"
"Bcen2424_1500",27701.3666907581,0.692920287667768,0.204510622208377,6.05717119666489e-05,0.00311340013839969,0.692920287667768,"translation initiation factor IF-2","1","A244T","WT"
"Bcen2424_1518",574.079068708947,-0.603859243659756,0.272776222417223,0.00213943429694563,0.0269077468448856,0.603859243659756,"prepilin peptidase","1","A244T","WT"
"Bcen2424_1524",395.393921209336,-0.83079312378414,0.36755438386363,0.00112291868189776,0.0184319967067307,0.83079312378414,"pilus assembly protein","1","A244T","WT"
"Bcen2424_1540",99.7191001209214,0.792198111150064,0.367864269000127,0.00169593502665651,0.0231129493770482,0.792198111150064,"carbohydrate kinase","1","A244T","WT"
"Bcen2424_1541",416.873344928436,1.47578391276107,0.459427198639323,5.59506479952443e-05,0.00311340013839969,1.47578391276107,"ABC transporter substrate-binding protein","1","A244T","WT"
"Bcen2424_1542",229.406994973458,1.19326620608975,0.504231001460724,0.0006942192284556,0.0139832225609599,1.19326620608975,"ribose ABC transporter permease","1","A244T","WT"
"Bcen2424_1543",549.289177238779,1.43651412262405,0.539020855648325,0.000277811721358028,0.00825378624154701,1.43651412262405,"sugar ABC transporter ATP-binding protein","1","A244T","WT"
"Bcen2424_1544",648.095093446398,1.12878139682151,0.558382718726487,0.00148298079136941,0.0220041606620642,1.12878139682151,"ROK family protein","1","A244T","WT"
"Bcen2424_1554",916.759444739901,0.738310370713516,0.214980424006982,5.71719061874635e-05,0.00311340013839969,0.738310370713516,"quinone-dependent dihydroorotate dehydrogenase","1","A244T","WT"
"Bcen2424_1568",1810.874088554,0.620931136604939,0.264756644350422,0.0014874613053685,0.0220041606620642,0.620931136604939,"tRNA dihydrouridine(20/20a) synthase DusA","1","A244T","WT"
"Bcen2424_1572",5878.68480623329,-1.08077588128326,0.476727453622397,0.000908546726446776,0.0164007326454762,1.08077588128326,"curculin (mannose-binding) lectin","1","A244T","WT"
