"locusTag","baseMean","log2FoldChange","lfcSE","pvalue","padj","abs_log2","name","chromosome","mutant","comparedTo"
"Bcen2424_0085",586.551712543478,0.671188830656547,0.347782907405144,0.0033603015724168,0.0337120331415938,0.671188830656547,"ABC transporter substrate-binding protein","1","A244T","WT"
"Bcen2424_0127",947.846552111904,-0.700837882902161,0.281288441894286,0.000901942105378882,0.0154446568338006,0.700837882902161,"mechanosensitive ion channel","1","A244T","WT"
"Bcen2424_0187",3299.24230225459,0.809391054643217,0.480824372401281,0.0039049404070521,0.0367232052233862,0.809391054643217,"hypothetical protein","1","A244T","WT"
"Bcen2424_0188",5279.54871236752,0.812797017031526,0.419675901672354,0.0023919299381521,0.027575385273828,0.812797017031526,"ImmA/IrrE family metallo-endopeptidase","1","A244T","WT"
"Bcen2424_0208",801.788259063636,-0.584448424467915,0.192127009822359,0.000271342978885707,0.00788093944752576,0.584448424467915,"hypothetical protein","1","A244T","WT"
"Bcen2424_0226",932.872411484154,1.42713502130602,0.357708146374593,3.21315329904518e-06,0.000469209635918904,1.42713502130602,"hypothetical protein","1","A244T","WT"
"Bcen2424_0242",2916.47160981967,0.68948817628458,0.319051651108126,0.00220472913268429,0.0261149164590367,0.68948817628458,"30S ribosomal protein S21","1","A244T","WT"
"Bcen2424_0248",3342.6699090642,-1.83824901509648,0.425138975318889,6.67522494823847e-07,0.000152572424142999,1.83824901509648,"aquaporin Z","1","A244T","WT"
"Bcen2424_0249",472.125949699012,-1.30373719897244,0.367074544764872,1.51147674554851e-05,0.00128158600828201,1.30373719897244,"H-NS histone family protein","1","A244T","WT"
"Bcen2424_0287",108.968861226462,0.90477288808005,0.347339193649432,0.000505775662935078,0.0105930783268912,0.90477288808005,"hypothetical protein","1","A244T","WT"
"Bcen2424_0315",246.997098877927,-0.680398704448491,0.176468215457592,1.24833341476903e-05,0.00111228623075268,0.680398704448491,"flavodoxin family protein","1","A244T","WT"
