"locusTag","baseMean","log2FoldChange","lfcSE","pvalue","padj","abs_log2","name","chromosome","mutant","comparedTo"
"Bcen2424_0025",45.0523134697692,-1.42678843828472,0.715995203431095,0.00143899046860101,0.0163518787042833,1.42678843828472,"hypothetical protein","1","A244T","WT"
"Bcen2424_0052",454.151034379904,-0.621434784155925,0.205101934185773,0.000262065955237168,0.00613847231440607,0.621434784155925,"type II secretion system protein M","1","A244T","WT"
"Bcen2424_0085",661.804914951317,0.673659047279263,0.360983353346489,0.00406520088585842,0.0319918498841111,0.673659047279263,"ABC transporter substrate-binding protein","1","A244T","WT"
"Bcen2424_0127",1014.36676471449,-0.738398122574092,0.23297730590937,0.000130368412041414,0.00392388655724649,0.738398122574092,"mechanosensitive ion channel","1","A244T","WT"
"Bcen2424_0187",3609.29441537582,0.931333122650318,0.378648751598008,0.000649847754470318,0.00996556161938659,0.931333122650318,"hypothetical protein","1","A244T","WT"
"Bcen2424_0188",5799.74493536928,0.891260033587462,0.373074561837843,0.000919016996295351,0.0119880696891894,0.891260033587462,"ImmA/IrrE family metallo-endopeptidase","1","A244T","WT"
"Bcen2424_0190",1469.17003440919,1.95392011666663,1.32082065831189,0.00244737656847628,0.0228934146316888,1.95392011666663,"hypothetical protein","1","A244T","WT"
"Bcen2424_0191",1602.49684557711,1.41149800735932,0.583359792037763,0.000567860975229719,0.00931837402573288,1.41149800735932,"hypothetical protein","1","A244T","WT"
"Bcen2424_0211",154.877179233925,-0.61110984813845,0.349477688320073,0.00577952674362522,0.039873243294203,0.61110984813845,"AAA family ATPase","1","A244T","WT"
"Bcen2424_0226",1191.80704063808,1.41882037339902,0.385743231680248,1.12445010306536e-05,0.0010535372014043,1.41882037339902,"hypothetical protein","1","A244T","WT"
"Bcen2424_0242",3162.34213186925,0.73050320054837,0.288943812093652,0.000792665947250507,0.0110421978119381,0.73050320054837,"30S ribosomal protein S21","1","A244T","WT"
"Bcen2424_0248",3300.94745988554,-1.85136677665752,0.388626237493254,8.71338925564404e-08,4.60146165327602e-05,1.85136677665752,"aquaporin Z","1","A244T","WT"
"Bcen2424_0249",459.395427046033,-1.34457654159712,0.315259683670501,1.04143025018687e-06,0.000189052135104235,1.34457654159712,"H-NS histone family protein","1","A244T","WT"
"Bcen2424_0287",119.433338418523,0.94850768182334,0.319600648452469,0.000177209295811088,0.00469711600373327,0.94850768182334,"hypothetical protein","1","A244T","WT"
"Bcen2424_0288",293.42285828782,0.602160837126451,0.285211364389233,0.00307416715697914,0.0268135690914292,0.602160837126451,"group II intron reverse transcriptase/maturase","1","A244T","WT"
"Bcen2424_0315",264.448998181375,-0.660104496702624,0.176762790298582,1.91272378120805e-05,0.00142182428289747,0.660104496702624,"flavodoxin family protein","1","A244T","WT"
"Bcen2424_0317",4219.40067651517,0.775564240194173,0.211798283598585,2.26374905815215e-05,0.00150705805511338,0.775564240194173,"orotate phosphoribosyltransferase","1","A244T","WT"
"Bcen2424_0333",59300.4965310243,0.588276092985281,0.167620728956848,6.25301229556972e-05,0.00261321931114853,0.588276092985281,"elongation factor Tu","1","A244T","WT"
"Bcen2424_0334",5780.59333922669,0.587012919587026,0.169419538469851,6.94057731493298e-05,0.00273248601056696,0.587012919587026,"preprotein translocase subunit SecE","1","A244T","WT"
"Bcen2424_0336",7515.50045774146,0.863750490135772,0.258756005906673,5.11628290578989e-05,0.00230391375191733,0.863750490135772,"50S ribosomal protein L11","1","A244T","WT"
