"locusTag","baseMean","log2FoldChange","lfcSE","pvalue","padj","abs_log2","name","chromosome","mutant","comparedTo"
"Bcen2424_0025",45.1252003214191,-1.44862256382877,0.709826669433708,0.00130623287461984,0.0159622773716899,1.44862256382877,"hypothetical protein","1","A244T","WT"
"Bcen2424_0052",454.812145406952,-0.633771778318078,0.207056600860593,0.000224828217303299,0.00573148796642963,0.633771778318078,"type II secretion system protein M","1","A244T","WT"
"Bcen2424_0085",661.7218589401,0.662148681794045,0.356383652137169,0.00432455533980866,0.0349323898140759,0.662148681794045,"ABC transporter substrate-binding protein","1","A244T","WT"
"Bcen2424_0127",1015.88652859586,-0.74827215233363,0.234897524979521,0.000113902639642919,0.00378159291729215,0.74827215233363,"mechanosensitive ion channel","1","A244T","WT"
"Bcen2424_0187",3607.51570905084,0.92860129283662,0.375068564559753,0.000714717689052577,0.0108420967206676,0.92860129283662,"hypothetical protein","1","A244T","WT"
"Bcen2424_0188",5798.2658146181,0.870613352247913,0.373080217708283,0.00105030575676604,0.0138085025814828,0.870613352247913,"ImmA/IrrE family metallo-endopeptidase","1","A244T","WT"
"Bcen2424_0190",1464.9669639177,1.92736428036345,1.33436908214078,0.00257598882075871,0.024843305338818,1.92736428036345,"hypothetical protein","1","A244T","WT"
"Bcen2424_0191",1599.75736329922,1.19196491944801,0.788958793665645,0.00349665257395413,0.0306238224662231,1.19196491944801,"hypothetical protein","1","A244T","WT"
"Bcen2424_0211",155.050010827109,-0.633054950547973,0.34807016862955,0.00495525560800039,0.0379372246615184,0.633054950547973,"AAA family ATPase","1","A244T","WT"
"Bcen2424_0226",1192.42549316545,1.40474835069607,0.383140568205922,1.187767962652e-05,0.00121300803185836,1.40474835069607,"hypothetical protein","1","A244T","WT"
"Bcen2424_0242",3160.46146304805,0.723586342449789,0.284574594834809,0.000851815097846129,0.0123957520218372,0.723586342449789,"30S ribosomal protein S21","1","A244T","WT"
"Bcen2424_0248",3304.41619772912,-1.86892633332114,0.387392423359377,6.47139609820626e-08,3.36453766233106e-05,1.86892633332114,"aquaporin Z","1","A244T","WT"
"Bcen2424_0249",460.007751485907,-1.36060652262433,0.314982852001196,8.16070306295002e-07,0.000166682360060754,1.36060652262433,"H-NS histone family protein","1","A244T","WT"
"Bcen2424_0287",119.456620677579,0.932525109298061,0.318494017131681,0.000202474040952204,0.0054144996127311,0.932525109298061,"hypothetical protein","1","A244T","WT"
"Bcen2424_0288",293.470354315488,0.588615760018877,0.282774998222785,0.00344954762019349,0.030491441792715,0.588615760018877,"group II intron reverse transcriptase/maturase","1","A244T","WT"
"Bcen2424_0315",264.811764891073,-0.673712150868975,0.178043305172578,1.51567736259748e-05,0.00133356289795307,0.673712150868975,"flavodoxin family protein","1","A244T","WT"
"Bcen2424_0317",4217.25491022644,0.764868281244651,0.206788495586043,2.1535311926783e-05,0.00159948634947107,0.764868281244651,"orotate phosphoribosyltransferase","1","A244T","WT"
"Bcen2424_0333",59287.4824478143,0.59349579900781,0.163024612620557,6.30577163013027e-05,0.00277405445790115,0.59349579900781,"elongation factor Tu","1","A244T","WT"
"Bcen2424_0336",7510.32284340017,0.859348692473435,0.253653056286658,5.01785312516367e-05,0.0024793658261088,0.859348692473435,"50S ribosomal protein L11","1","A244T","WT"
"Bcen2424_0337",11183.3514778029,0.662226385075285,0.257546846634899,0.000887720680443273,0.0125815324874617,0.662226385075285,"50S ribosomal protein L1","1","A244T","WT"
"Bcen2424_0338",12528.1573480112,0.611776917334453,0.217895675061085,0.00057007441461131,0.00987956235503662,0.611776917334453,"50S ribosomal protein L10","1","A244T","WT"
"Bcen2424_0343",6091.76469722223,0.826560006128248,0.238286579823164,4.05504181753921e-05,0.00216736300509409,0.826560006128248,"30S ribosomal protein S12","1","A244T","WT"
"Bcen2424_0344",11034.249886617,0.784286921147099,0.2499285153008,0.000115926239586055,0.00378846950967229,0.784286921147099,"30S ribosomal protein S7","1","A244T","WT"
"Bcen2424_0345",30261.9040136413,0.860679606990288,0.370548265160862,0.0011358989465146,0.0145312375456869,0.860679606990288,"elongation factor G","1","A244T","WT"
"Bcen2424_0347",4863.34976184451,0.759814957916621,0.335336250443486,0.00164119536767277,0.0186230085470647,0.759814957916621,"30S ribosomal protein S10","1","A244T","WT"
"Bcen2424_0348",13206.2390069729,0.904548856371979,0.332775012441874,0.000389636455722424,0.0080445158493738,0.904548856371979,"50S ribosomal protein L3","1","A244T","WT"
"Bcen2424_0349",19675.8948348869,0.889268659501705,0.430889436360325,0.00191343782769572,0.0204541139001716,0.889268659501705,"50S ribosomal protein L4","1","A244T","WT"
"Bcen2424_0350",9619.94040235017,0.905937581980413,0.359351667909334,0.000657682992180932,0.0106079787054808,0.905937581980413,"50S ribosomal protein L23","1","A244T","WT"
"Bcen2424_0351",13175.0385070582,0.897312414525815,0.369249751344301,0.000762849665482074,0.0113317850308883,0.897312414525815,"50S ribosomal protein L2","1","A244T","WT"
