"Gene","product_accession","Description","chromosome","start","end","strand","feature_interval_length","product_length","assembly_unit","level","annotation"
"Bcen2424_0001","ABK06755.1","chromosomal replication initiator protein DnaA","1","    178","   1755","+"," 1578"," 525","Primary Assembly",NA,""
"Bcen2424_0002","ABK06756.1","DNA polymerase III, beta subunit","1","   1926","   3032","+"," 1107"," 368","Primary Assembly"," 3","03030 DNA replication PATH:ko03030 - 03430 Mismatch repair PATH:ko03430 - 03440 Homologous recombination PATH:ko03440"
"Bcen2424_0003","ABK06757.1","DNA gyrase subunit B","1","   3224","   5698","+"," 2475"," 824","Primary Assembly",NA,""
"Bcen2424_0004","ABK06758.1","Integrase, catalytic region","1","   6509","   8014","+"," 1506"," 501","Primary Assembly",NA,""
"Bcen2424_0005","ABK06759.1","IstB domain protein ATP-binding protein","1","   8007","   8804","+","  798"," 265","Primary Assembly",NA,""
"Bcen2424_0006","ABK06760.1","DNA (cytosine-5-)-methyltransferase","1","   8871","   8987","-","  117","  38","Primary Assembly",NA,""
"Bcen2424_0007","ABK06761.1","transposase IS3/IS911 family protein","1","   9308","   9568","+","  261","  86","Primary Assembly",NA,""
"Bcen2424_0008","ABK06762.1","putative insertion element protein","1","   9607","   9924","+","  318"," 105","Primary Assembly",NA,""
"Bcen2424_0009","ABK06763.1","cytochrome B561","1","  15657","  16187","-","  531"," 176","Primary Assembly",NA,""
"Bcen2424_0010","ABK06764.1","Catalase domain protein","1","  16187","  17272","-"," 1086"," 361","Primary Assembly"," 3","00630 Glyoxylate and dicarboxylate metabolism PATH:ko00630 - 00380 Tryptophan metabolism PATH:ko00380"
"Bcen2424_0011","ABK06765.1","RNA polymerase, sigma-24 subunit, RpoE","1","  17431","  17952","+","  522"," 173","Primary Assembly",NA,""
"Bcen2424_0012","ABK06766.1","putative transmembrane anti-sigma factor","1","  17949","  18707","+","  759"," 252","Primary Assembly",NA,""
"Bcen2424_0013","ABK06767.1","conserved hypothetical protein","1","  19024","  19350","+","  327"," 108","Primary Assembly",NA,""
"Bcen2424_0014","ABK06768.1","conserved hypothetical protein","1","  19296","  19613","-","  318"," 105","Primary Assembly",NA,""
"Bcen2424_0015","ABK06769.1","conserved hypothetical protein","1","  19796","  20053","-","  258","  85","Primary Assembly",NA,""
"Bcen2424_0016","ABK06770.1","conserved hypothetical protein","1","  20072","  20401","-","  330"," 109","Primary Assembly",NA,""
"Bcen2424_0017","ABK06771.1","conserved hypothetical protein","1","  20433","  20693","-","  261","  86","Primary Assembly",NA,""
"Bcen2424_0018","ABK06772.1","conserved hypothetical protein","1","  21686","  22201","+","  516"," 171","Primary Assembly",NA,""
"Bcen2424_0019","ABK06773.1","RNA polymerase, sigma-24 subunit, RpoE","1","  22304","  23185","-","  882"," 293","Primary Assembly",NA,""
"Bcen2424_0020","ABK06774.1","alkylhydroperoxidase like protein, AhpD family","1","  23185","  23661","-","  477"," 158","Primary Assembly",NA,""
"Bcen2424_0021","ABK06775.1","conserved hypothetical protein","1","  24004","  24237","+","  234","  77","Primary Assembly",NA,""
"Bcen2424_0022","ABK06776.1","protein of unknown function DUF323","1","  24242","  25468","+"," 1227"," 408","Primary Assembly",NA,""
"Bcen2424_0023","ABK06777.1","conserved hypothetical protein","1","  25452","  26465","+"," 1014"," 337","Primary Assembly",NA,""
"Bcen2424_0024","ABK06778.1","conserved hypothetical protein","1","  26759","  27061","+","  303"," 100","Primary Assembly",NA,""
"Bcen2424_0025","ABK06779.1","conserved hypothetical protein","1","  27114","  27326","+","  213","  70","Primary Assembly",NA,""
"Bcen2424_0026","ABK06780.1","conserved hypothetical protein","1","  27514","  27870","+","  357"," 118","Primary Assembly",NA,""
"Bcen2424_0027","ABK06781.1","type III restriction enzyme, res subunit","1","  28136","  31162","-"," 3027","1008","Primary Assembly",NA,""
"Bcen2424_0028","ABK06782.1","Site-specific DNA-methyltransferase (adenine-specific)","1","  31162","  33180","-"," 2019"," 672","Primary Assembly",NA,""
"Bcen2424_0029","ABK06783.1","outer membrane protein (porin)-like protein","1","  33540","  34667","-"," 1128"," 375","Primary Assembly",NA,""
"Bcen2424_0030","ABK06784.1","two component transcriptional regulator, winged helix family","1","  34950","  35627","-","  678"," 225","Primary Assembly",NA,""
"Bcen2424_0031","ABK06785.1","periplasmic sensor signal transduction histidine kinase","1","  35641","  37008","-"," 1368"," 455","Primary Assembly",NA,""
"Bcen2424_0032","ABK06786.1","binding-protein-dependent transport systems inner membrane component","1","  37097","  37954","-","  858"," 285","Primary Assembly",NA,""
"Bcen2424_0033","ABK06787.1","ABC transporter related protein","1","  38014","  38811","-","  798"," 265","Primary Assembly",NA,""
"Bcen2424_0034","ABK06788.1","ABC nitrate/sulfonate/bicarbonate transporter, periplasmic ligand binding protein","1","  38933","  39937","-"," 1005"," 334","Primary Assembly",NA,""
"Bcen2424_0035","ABK06789.1","flagellar biosynthetic protein FliR","1","  40123","  40905","-","  783"," 260","Primary Assembly",NA,""
"Bcen2424_0036","ABK06790.1","flagellar biosynthetic protein FliQ","1","  40930","  41202","-","  273","  90","Primary Assembly",NA,""
"Bcen2424_0037","ABK06791.1","flagellar biosynthetic protein FliP","1","  41220","  41981","-","  762"," 253","Primary Assembly",NA,""
"Bcen2424_0038","ABK06792.1","flagellar biosynthesis protein, FliO","1","  42018","  42599","-","  582"," 193","Primary Assembly",NA,""
"Bcen2424_0039","ABK06793.1","flagellar motor switch protein FliN","1","  42596","  43084","-","  489"," 162","Primary Assembly"," 3","02030 Bacterial chemotaxis PATH:ko02030 - 02040 Flagellar assembly PATH:ko02040"
"Bcen2424_0040","ABK06794.1","flagellar motor switch protein FliM","1","  43077","  44075","-","  999"," 332","Primary Assembly"," 3","02030 Bacterial chemotaxis PATH:ko02030 - 02040 Flagellar assembly PATH:ko02040"
"Bcen2424_0041","ABK06795.1","flagellar basal body-associated protein FliL","1","  44098","  44631","-","  534"," 177","Primary Assembly",NA,""
"Bcen2424_0042","ABK06796.1","LrgB family protein","1","  44844","  45566","-","  723"," 240","Primary Assembly",NA,""
"Bcen2424_0043","ABK06797.1","LrgA family protein","1","  45580","  46053","-","  474"," 157","Primary Assembly",NA,""
"Bcen2424_0044","ABK06798.1","transcriptional regulator, LysR family","1","  46195","  47121","+","  927"," 308","Primary Assembly",NA,""
"Bcen2424_0045","ABK06799.1","PilT protein domain protein","1","  47146","  47532","-","  387"," 128","Primary Assembly",NA,""
"Bcen2424_0046","ABK06800.1","prevent-host-death family protein","1","  47529","  47777","-","  249","  82","Primary Assembly",NA,""
