# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	178	1755	+					dnaA		BCEN2424_RS00005	1578		old_locus_tag=Bcen2424_0001
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	178	1755	+	WP_011694007.1	WP_011694007.1		chromosomal replication initiator protein DnaA	dnaA		BCEN2424_RS00005	1578	525	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	1926	3032	+							BCEN2424_RS00010	1107		old_locus_tag=Bcen2424_0002
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	1926	3032	+	WP_006490996.1	WP_006490996.1		DNA polymerase III subunit beta			BCEN2424_RS00010	1107	368	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	3224	5698	+					gyrB		BCEN2424_RS00015	2475		old_locus_tag=Bcen2424_0003
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	3224	5698	+	WP_011546516.1	WP_011546516.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		BCEN2424_RS00015	2475	824	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	6509	8014	+							BCEN2424_RS00020	1506		old_locus_tag=Bcen2424_0004
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	6509	8014	+	WP_011546517.1	WP_011546517.1		IS21 family transposase			BCEN2424_RS00020	1506	501	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	8007	8804	+							BCEN2424_RS00025	798		old_locus_tag=Bcen2424_0005
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	8007	8804	+	WP_011546518.1	WP_011546518.1		ATP-binding protein			BCEN2424_RS00025	798	265	
gene	pseudogene	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	8877	9008	-							BCEN2424_RS34465	132		partial;pseudo;old_locus_tag=Bcen2424_0006
CDS	without_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	8877	9008	-				DNA (cytosine-5-)-methyltransferase			BCEN2424_RS34465	132		partial;pseudo
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	9308	9568	+							BCEN2424_RS00030	261		old_locus_tag=Bcen2424_0007
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	9308	9568	+	WP_011546520.1	WP_011546520.1		transposase			BCEN2424_RS00030	261	86	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	9607	9924	+							BCEN2424_RS34470	318		old_locus_tag=Bcen2424_0008
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	9607	9924	+	WP_011546521.1	WP_011546521.1		IS3 family transposase			BCEN2424_RS34470	318	105	
gene	rRNA	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	10007	10119	-					rrf		BCEN2424_RS00040	113		old_locus_tag=Bcen2424_R0001
rRNA		GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	10007	10119	-				5S ribosomal RNA	rrf		BCEN2424_RS00040	113		
gene	rRNA	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	10268	13161	-							BCEN2424_RS00045	2894		old_locus_tag=Bcen2424_R0002
rRNA		GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	10268	13161	-				23S ribosomal RNA			BCEN2424_RS00045	2894		
gene	rRNA	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	13541	15079	-							BCEN2424_RS00050	1539		old_locus_tag=Bcen2424_R0003
rRNA		GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	13541	15079	-				16S ribosomal RNA			BCEN2424_RS00050	1539		
gene	pseudogene	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	15118	15236	-							BCEN2424_RS36745	119		pseudo
CDS	without_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	15118	15236	-				phenylacetate-CoA oxygenase			BCEN2424_RS36745	119		pseudo
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	15657	16190	-							BCEN2424_RS00055	534		old_locus_tag=Bcen2424_0009
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	15657	16190	-	WP_041489150.1	WP_041489150.1		cytochrome b			BCEN2424_RS00055	534	177	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	16187	17272	-							BCEN2424_RS00060	1086		old_locus_tag=Bcen2424_0010
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	16187	17272	-	WP_011544489.1	WP_011544489.1		catalase family peroxidase			BCEN2424_RS00060	1086	361	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	17431	17952	+							BCEN2424_RS00065	522		old_locus_tag=Bcen2424_0011
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	17431	17952	+	WP_011544488.1	WP_011544488.1		sigma-70 family RNA polymerase sigma factor			BCEN2424_RS00065	522	173	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	17949	18707	+							BCEN2424_RS00070	759		old_locus_tag=Bcen2424_0012
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	17949	18707	+	WP_011544487.1	WP_011544487.1		anti-sigma factor			BCEN2424_RS00070	759	252	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	19296	19613	-							BCEN2424_RS00075	318		old_locus_tag=Bcen2424_0014
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	19296	19613	-	WP_006477210.1	WP_006477210.1		hypothetical protein			BCEN2424_RS00075	318	105	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	19796	20053	-							BCEN2424_RS00080	258		old_locus_tag=Bcen2424_0015
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	19796	20053	-	WP_011544485.1	WP_011544485.1		hypothetical protein			BCEN2424_RS00080	258	85	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	20072	20401	-							BCEN2424_RS00085	330		old_locus_tag=Bcen2424_0016
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	20072	20401	-	WP_011544484.1	WP_011544484.1		hypothetical protein			BCEN2424_RS00085	330	109	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	20433	20693	-							BCEN2424_RS00090	261		old_locus_tag=Bcen2424_0017
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	20433	20693	-	WP_011544483.1	WP_011544483.1		hypothetical protein			BCEN2424_RS00090	261	86	
gene	tRNA	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	21288	21364	+							BCEN2424_RS00095	77		old_locus_tag=Bcen2424_R0004
tRNA		GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	21288	21364	+				tRNA-Val			BCEN2424_RS00095	77		anticodon=GAC
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	21686	22201	+							BCEN2424_RS00100	516		old_locus_tag=Bcen2424_0018
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	21686	22201	+	WP_011544482.1	WP_011544482.1		DUF2628 domain-containing protein			BCEN2424_RS00100	516	171	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	22304	23185	-							BCEN2424_RS00105	882		old_locus_tag=Bcen2424_0019
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	22304	23185	-	WP_011544481.1	WP_011544481.1		sigma-70 family RNA polymerase sigma factor			BCEN2424_RS00105	882	293	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	23185	23661	-							BCEN2424_RS00110	477		old_locus_tag=Bcen2424_0020
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	23185	23661	-	WP_011544480.1	WP_011544480.1		carboxymuconolactone decarboxylase family protein			BCEN2424_RS00110	477	158	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	24242	25468	+							BCEN2424_RS00115	1227		old_locus_tag=Bcen2424_0022
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	24242	25468	+	WP_011694009.1	WP_011694009.1		ergothioneine biosynthesis protein EgtB			BCEN2424_RS00115	1227	408	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	25452	26465	+					egtD		BCEN2424_RS00120	1014		old_locus_tag=Bcen2424_0023
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	25452	26465	+	WP_011544477.1	WP_011544477.1		L-histidine N(alpha)-methyltransferase	egtD		BCEN2424_RS00120	1014	337	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	26759	27061	+							BCEN2424_RS00125	303		old_locus_tag=Bcen2424_0024
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	26759	27061	+	WP_006477218.1	WP_006477218.1		hypothetical protein			BCEN2424_RS00125	303	100	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	27114	27326	+							BCEN2424_RS00130	213		old_locus_tag=Bcen2424_0025
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	27114	27326	+	WP_011544476.1	WP_011544476.1		hypothetical protein			BCEN2424_RS00130	213	70	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	27514	27870	+							BCEN2424_RS00135	357		old_locus_tag=Bcen2424_0026
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	27514	27870	+	WP_011544475.1	WP_011544475.1		hypothetical protein			BCEN2424_RS00135	357	118	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	28136	31162	-							BCEN2424_RS00140	3027		old_locus_tag=Bcen2424_0027
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	28136	31162	-	WP_011544474.1	WP_011544474.1		DEAD/DEAH box helicase family protein			BCEN2424_RS00140	3027	1008	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	31162	33180	-							BCEN2424_RS00145	2019		old_locus_tag=Bcen2424_0028
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	31162	33180	-	WP_011544473.1	WP_011544473.1		site-specific DNA-methyltransferase			BCEN2424_RS00145	2019	672	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	33540	34667	-							BCEN2424_RS00150	1128		old_locus_tag=Bcen2424_0029
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	33540	34667	-	WP_011694010.1	WP_011694010.1		porin			BCEN2424_RS00150	1128	375	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	34950	35627	-							BCEN2424_RS00155	678		old_locus_tag=Bcen2424_0030
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	34950	35627	-	WP_011544471.1	WP_011544471.1		response regulator			BCEN2424_RS00155	678	225	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	35641	37008	-							BCEN2424_RS00160	1368		old_locus_tag=Bcen2424_0031
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	35641	37008	-	WP_011544470.1	WP_011544470.1		sensor histidine kinase			BCEN2424_RS00160	1368	455	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	37097	37954	-							BCEN2424_RS00165	858		old_locus_tag=Bcen2424_0032
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	37097	37954	-	WP_011544469.1	WP_011544469.1		ABC transporter permease			BCEN2424_RS00165	858	285	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	38014	38811	-							BCEN2424_RS00170	798		old_locus_tag=Bcen2424_0033
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	38014	38811	-	WP_006477226.1	WP_006477226.1		ABC transporter ATP-binding protein			BCEN2424_RS00170	798	265	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	38933	39937	-							BCEN2424_RS00175	1005		old_locus_tag=Bcen2424_0034
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	38933	39937	-	WP_011544468.1	WP_011544468.1		ABC transporter substrate-binding protein			BCEN2424_RS00175	1005	334	
gene	protein_coding	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	40123	40905	-					fliR		BCEN2424_RS00180	783		old_locus_tag=Bcen2424_0035
CDS	with_protein	GCF_000203955.1	Primary Assembly	chromosome	1	NC_008542.1	40123	40905	-	WP_006477228.1	WP_006477228.1		flagellar biosynthetic protein FliR	fliR		BCEN2424_RS00180	783	260	
