"locusTag"	"RSlocusTag"	"feature"	"class"	"assembly"	"assembly_unit"	"seq_type"	"chromosome"	"genomic_accession"	"start"	"end"	"strand"	"product_accession"	"non.redundant_refseq"	"related_accession"	"name"	"symbol"	"GeneID"	"feature_interval_length"	"product_length"	"attributes"
"Bcen2424_0001"	"BCEN2424_RS00005"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	178	1755	"+"	"WP_011694007.1"	"WP_011694007.1"		"chromosomal replication initiator protein DnaA"	"dnaA"		1578	525	"old_locus_tag=Bcen2424_0001"
"Bcen2424_0002"	"BCEN2424_RS00010"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	1926	3032	"+"	"WP_006490996.1"	"WP_006490996.1"		"DNA polymerase III subunit beta"	""		1107	368	"old_locus_tag=Bcen2424_0002"
"Bcen2424_0003"	"BCEN2424_RS00015"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	3224	5698	"+"	"WP_011546516.1"	"WP_011546516.1"		"DNA topoisomerase (ATP-hydrolyzing) subunit B"	"gyrB"		2475	824	"old_locus_tag=Bcen2424_0003"
"Bcen2424_0004"	"BCEN2424_RS00020"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	6509	8014	"+"	"WP_011546517.1"	"WP_011546517.1"		"IS21 family transposase"	""		1506	501	"old_locus_tag=Bcen2424_0004"
"Bcen2424_0005"	"BCEN2424_RS00025"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	8007	8804	"+"	"WP_011546518.1"	"WP_011546518.1"		"ATP-binding protein"	""		798	265	"old_locus_tag=Bcen2424_0005"
"Bcen2424_0006"	"BCEN2424_RS34465"	"CDS"	"without_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	8877	9008	"-"	""	""		"DNA (cytosine-5-)-methyltransferase"	""		132		"partial;pseudo;old_locus_tag=Bcen2424_0006"
"Bcen2424_0007"	"BCEN2424_RS00030"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	9308	9568	"+"	"WP_011546520.1"	"WP_011546520.1"		"transposase"	""		261	86	"old_locus_tag=Bcen2424_0007"
"Bcen2424_0008"	"BCEN2424_RS34470"	"CDS"	"with_protein"	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	9607	9924	"+"	"WP_011546521.1"	"WP_011546521.1"		"IS3 family transposase"	""		318	105	"old_locus_tag=Bcen2424_0008"
"BCEN2424_RS00040"	"BCEN2424_RS00040"	"rRNA"	""	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	10007	10119	"-"	""	""		"5S ribosomal RNA"	"rrf"		113		"old_locus_tag=Bcen2424_R0001"
"BCEN2424_RS00045"	"BCEN2424_RS00045"	"rRNA"	""	"GCF_000203955.1"	"Primary Assembly"	"chromosome"	"1"	"NC_008542.1"	10268	13161	"-"	""	""		"23S ribosomal RNA"	""		2894		"old_locus_tag=Bcen2424_R0002"
