"locusTag","RSlocusTag","feature","class","assembly","assembly_unit","seq_type","chromosome","genomic_accession","start","end","strand","product_accession","non.redundant_refseq","related_accession","name","symbol","GeneID","feature_interval_length","product_length","attributes","gene_name"
"Bcen2424_0001","BCEN2424_RS00005","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",178,1755,"+","WP_011694007.1","WP_011694007.1",NA,"chromosomal replication initiator protein DnaA","dnaA",NA,1578,525,"old_locus_tag=Bcen2424_0001","Bcen2424_0001-dnaA-chromosomal replication initiator protein DnaA"
"Bcen2424_0002","BCEN2424_RS00010","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",1926,3032,"+","WP_006490996.1","WP_006490996.1",NA,"DNA polymerase III subunit beta","",NA,1107,368,"old_locus_tag=Bcen2424_0002","Bcen2424_0002--DNA polymerase III subunit beta"
"Bcen2424_0003","BCEN2424_RS00015","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",3224,5698,"+","WP_011546516.1","WP_011546516.1",NA,"DNA topoisomerase (ATP-hydrolyzing) subunit B","gyrB",NA,2475,824,"old_locus_tag=Bcen2424_0003","Bcen2424_0003-gyrB-DNA topoisomerase (ATP-hydrolyzing) subunit B"
"Bcen2424_0004","BCEN2424_RS00020","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",6509,8014,"+","WP_011546517.1","WP_011546517.1",NA,"IS21 family transposase","",NA,1506,501,"old_locus_tag=Bcen2424_0004","Bcen2424_0004--IS21 family transposase"
"Bcen2424_0005","BCEN2424_RS00025","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",8007,8804,"+","WP_011546518.1","WP_011546518.1",NA,"ATP-binding protein","",NA,798,265,"old_locus_tag=Bcen2424_0005","Bcen2424_0005--ATP-binding protein"
"Bcen2424_0006","BCEN2424_RS34465","CDS","without_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",8877,9008,"-","","",NA,"DNA (cytosine-5-)-methyltransferase","",NA,132,NA,"partial;pseudo;old_locus_tag=Bcen2424_0006","Bcen2424_0006--DNA (cytosine-5-)-methyltransferase"
"Bcen2424_0007","BCEN2424_RS00030","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",9308,9568,"+","WP_011546520.1","WP_011546520.1",NA,"transposase","",NA,261,86,"old_locus_tag=Bcen2424_0007","Bcen2424_0007--transposase"
"Bcen2424_0008","BCEN2424_RS34470","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",9607,9924,"+","WP_011546521.1","WP_011546521.1",NA,"IS3 family transposase","",NA,318,105,"old_locus_tag=Bcen2424_0008","Bcen2424_0008--IS3 family transposase"
"Bcen2424_0009","BCEN2424_RS00055","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",15657,16190,"-","WP_041489150.1","WP_041489150.1",NA,"cytochrome b","",NA,534,177,"old_locus_tag=Bcen2424_0009","Bcen2424_0009--cytochrome b"
"Bcen2424_0010","BCEN2424_RS00060","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",16187,17272,"-","WP_011544489.1","WP_011544489.1",NA,"catalase family peroxidase","",NA,1086,361,"old_locus_tag=Bcen2424_0010","Bcen2424_0010--catalase family peroxidase"
"Bcen2424_0011","BCEN2424_RS00065","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",17431,17952,"+","WP_011544488.1","WP_011544488.1",NA,"sigma-70 family RNA polymerase sigma factor","",NA,522,173,"old_locus_tag=Bcen2424_0011","Bcen2424_0011--sigma-70 family RNA polymerase sigma factor"
"Bcen2424_0012","BCEN2424_RS00070","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",17949,18707,"+","WP_011544487.1","WP_011544487.1",NA,"anti-sigma factor","",NA,759,252,"old_locus_tag=Bcen2424_0012","Bcen2424_0012--anti-sigma factor"
"Bcen2424_0014","BCEN2424_RS00075","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",19296,19613,"-","WP_006477210.1","WP_006477210.1",NA,"hypothetical protein","",NA,318,105,"old_locus_tag=Bcen2424_0014","Bcen2424_0014--hypothetical protein"
"Bcen2424_0015","BCEN2424_RS00080","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",19796,20053,"-","WP_011544485.1","WP_011544485.1",NA,"hypothetical protein","",NA,258,85,"old_locus_tag=Bcen2424_0015","Bcen2424_0015--hypothetical protein"
"Bcen2424_0016","BCEN2424_RS00085","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",20072,20401,"-","WP_011544484.1","WP_011544484.1",NA,"hypothetical protein","",NA,330,109,"old_locus_tag=Bcen2424_0016","Bcen2424_0016--hypothetical protein"
"Bcen2424_0017","BCEN2424_RS00090","CDS","with_protein","GCF_000203955.1","Primary Assembly","chromosome","1","NC_008542.1",20433,20693,"-","WP_011544483.1","WP_011544483.1",NA,"hypothetical protein","",NA,261,86,"old_locus_tag=Bcen2424_0017","Bcen2424_0017--hypothetical protein"
