# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	178	1755	+							Bcen2424_0001	1578		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	178	1755	+	ABK06755.1			chromosomal replication initiator protein DnaA			Bcen2424_0001	1578	525	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1926	3032	+							Bcen2424_0002	1107		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1926	3032	+	ABK06756.1			DNA polymerase III, beta subunit			Bcen2424_0002	1107	368	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	3224	5698	+							Bcen2424_0003	2475		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	3224	5698	+	ABK06757.1			DNA gyrase subunit B			Bcen2424_0003	2475	824	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	6509	8014	+							Bcen2424_0004	1506		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	6509	8014	+	ABK06758.1			Integrase, catalytic region			Bcen2424_0004	1506	501	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	8007	8804	+							Bcen2424_0005	798		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	8007	8804	+	ABK06759.1			IstB domain protein ATP-binding protein			Bcen2424_0005	798	265	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	8871	8987	-							Bcen2424_0006	117		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	8871	8987	-	ABK06760.1			DNA (cytosine-5-)-methyltransferase			Bcen2424_0006	117	38	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	9308	9568	+							Bcen2424_0007	261		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	9308	9568	+	ABK06761.1			transposase IS3/IS911 family protein			Bcen2424_0007	261	86	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	9607	9924	+							Bcen2424_0008	318		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	9607	9924	+	ABK06762.1			putative insertion element protein			Bcen2424_0008	318	105	
gene	rRNA	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	10007	10119	-							Bcen2424_R0001	113		
rRNA		GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	10007	10119	-				5S ribosomal RNA			Bcen2424_R0001	113		
gene	rRNA	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	10273	13154	-							Bcen2424_R0002	2882		
rRNA		GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	10273	13154	-				23S ribosomal RNA			Bcen2424_R0002	2882		
gene	rRNA	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	13546	15023	-							Bcen2424_R0003	1478		
rRNA		GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	13546	15023	-				16S ribosomal RNA			Bcen2424_R0003	1478		
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	15657	16187	-							Bcen2424_0009	531		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	15657	16187	-	ABK06763.1			cytochrome B561			Bcen2424_0009	531	176	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	16187	17272	-							Bcen2424_0010	1086		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	16187	17272	-	ABK06764.1			Catalase domain protein			Bcen2424_0010	1086	361	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	17431	17952	+							Bcen2424_0011	522		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	17431	17952	+	ABK06765.1			RNA polymerase, sigma-24 subunit, RpoE			Bcen2424_0011	522	173	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	17949	18707	+							Bcen2424_0012	759		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	17949	18707	+	ABK06766.1			putative transmembrane anti-sigma factor			Bcen2424_0012	759	252	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	19024	19350	+							Bcen2424_0013	327		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	19024	19350	+	ABK06767.1			conserved hypothetical protein			Bcen2424_0013	327	108	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	19296	19613	-							Bcen2424_0014	318		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	19296	19613	-	ABK06768.1			conserved hypothetical protein			Bcen2424_0014	318	105	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	19796	20053	-							Bcen2424_0015	258		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	19796	20053	-	ABK06769.1			conserved hypothetical protein			Bcen2424_0015	258	85	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	20072	20401	-							Bcen2424_0016	330		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	20072	20401	-	ABK06770.1			conserved hypothetical protein			Bcen2424_0016	330	109	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	20433	20693	-							Bcen2424_0017	261		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	20433	20693	-	ABK06771.1			conserved hypothetical protein			Bcen2424_0017	261	86	
gene	tRNA	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	21288	21364	+							Bcen2424_R0004	77		
tRNA		GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	21288	21364	+				tRNA-Val			Bcen2424_R0004	77		
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	21686	22201	+							Bcen2424_0018	516		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	21686	22201	+	ABK06772.1			conserved hypothetical protein			Bcen2424_0018	516	171	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	22304	23185	-							Bcen2424_0019	882		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	22304	23185	-	ABK06773.1			RNA polymerase, sigma-24 subunit, RpoE			Bcen2424_0019	882	293	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	23185	23661	-							Bcen2424_0020	477		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	23185	23661	-	ABK06774.1			alkylhydroperoxidase like protein, AhpD family			Bcen2424_0020	477	158	
gene	protein_coding	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	24004	24237	+							Bcen2424_0021	234		
CDS	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	24004	24237	+	ABK06775.1			conserved hypothetical protein			Bcen2424_0021	234	77	
