locusTag	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non.redundant_refseq	related_accession	name	symbol	GeneID	feature_interval_length	product_length	attributes	level	annotation
Bcen2424_5867	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	49	240	-	ABK12600.1	NA	NA	Flp/Fap pilin component	NA	NA	192	63	NA	NA	
Bcen2424_0001	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	178	1755	+	ABK06755.1	NA	NA	chromosomal replication initiator protein DnaA	NA	NA	1578	525	NA	NA	
Bcen2424_3167	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	220	417	-	ABK09914.1	NA	NA	conserved hypothetical protein	NA	NA	198	65	NA	NA	
Bcen2424_5868	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	380	571	-	ABK12601.1	NA	NA	Flp/Fap pilin component	NA	NA	192	63	NA	NA	
Bcen2424_3168	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	717	2360	-	ABK09915.1	NA	NA	malate--quinone oxidoreductase	NA	NA	1644	547	NA	3	00020 Citrate cycle (TCA cycle) [PATH:ko00020]|00620 Pyruvate metabolism [PATH:ko00620]
Bcen2424_5869	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	743	1084	+	ABK12602.1	NA	NA	hypothetical protein	NA	NA	342	113	NA	NA	
Bcen2424_6789	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	1389	1886	+	ABK13518.1	NA	NA	Lytic transglycosylase, catalytic	NA	NA	498	165	NA	NA	
Bcen2424_5870	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	1621	2859	+	ABK12603.1	NA	NA	conserved hypothetical protein	NA	NA	1239	412	NA	NA	
Bcen2424_6790	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	1883	2272	+	ABK13519.1	NA	NA	hypothetical protein	NA	NA	390	129	NA	NA	
Bcen2424_0002	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1926	3032	+	ABK06756.1	NA	NA	DNA polymerase III, beta subunit	NA	NA	1107	368	NA	3	03030 DNA replication [PATH:ko03030]|03430 Mismatch repair [PATH:ko03430]|03440 Homologous recombination [PATH:ko03440]
Bcen2424_6791	with_protein	GCA_000203955.1	Primary Assembly	plasmid	Plasmid1	CP000461.1	2452	2850	+	ABK13520.1	NA	NA	hypothetical protein	NA	NA	399	132	NA	NA	
Bcen2424_5871	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	2856	4235	+	ABK12604.1	NA	NA	conserved hypothetical protein	NA	NA	1380	459	NA	NA	
