locusTag	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	gene_name	annotation	symbol	GeneID	feature_interval_length	product_length	attributes	level	annotation
Bcen2424_0001	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	178	1755	+	ABK06755.1			Bcen2424_0001	chromosomal replication initiator protein DnaA			1578	525			
Bcen2424_0002	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1926	3032	+	ABK06756.1			Bcen2424_0002	"DNA polymerase III, beta subunit"			1107	368		3	03030 DNA replication [PATH:ko03030]|03430 Mismatch repair [PATH:ko03430]|03440 Homologous recombination [PATH:ko03440]
Bcen2424_0003	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	3224	5698	+	ABK06757.1			Bcen2424_0003	DNA gyrase subunit B			2475	824			
Bcen2424_0004	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	6509	8014	+	ABK06758.1			Bcen2424_0004	"Integrase, catalytic region"			1506	501			
Bcen2424_0005	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	8007	8804	+	ABK06759.1			Bcen2424_0005	IstB domain protein ATP-binding protein			798	265			
Bcen2424_0006	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	8871	8987	-	ABK06760.1			Bcen2424_0006	DNA (cytosine-5-)-methyltransferase			117	38			
Bcen2424_0007	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	9308	9568	+	ABK06761.1			Bcen2424_0007	transposase IS3/IS911 family protein			261	86			
Bcen2424_0008	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	9607	9924	+	ABK06762.1			Bcen2424_0008	putative insertion element protein			318	105			
Bcen2424_0009	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	15657	16187	-	ABK06763.1			Bcen2424_0009	cytochrome B561			531	176			
Bcen2424_0010	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	16187	17272	-	ABK06764.1			Bcen2424_0010	Catalase domain protein			1086	361		3	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]|00380 Tryptophan metabolism [PATH:ko00380]
Bcen2424_0011	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	17431	17952	+	ABK06765.1			Bcen2424_0011	"RNA polymerase, sigma-24 subunit, RpoE"			522	173			
Bcen2424_0012	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	17949	18707	+	ABK06766.1			Bcen2424_0012	putative transmembrane anti-sigma factor			759	252			
Bcen2424_0013	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	19024	19350	+	ABK06767.1			Bcen2424_0013	conserved hypothetical protein			327	108			
Bcen2424_0014	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	19296	19613	-	ABK06768.1			Bcen2424_0014	conserved hypothetical protein			318	105			
Bcen2424_0015	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	19796	20053	-	ABK06769.1			Bcen2424_0015	conserved hypothetical protein			258	85			
Bcen2424_0016	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	20072	20401	-	ABK06770.1			Bcen2424_0016	conserved hypothetical protein			330	109			
Bcen2424_0017	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	20433	20693	-	ABK06771.1			Bcen2424_0017	conserved hypothetical protein			261	86			
Bcen2424_0018	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	21686	22201	+	ABK06772.1			Bcen2424_0018	conserved hypothetical protein			516	171			
